commodity,horizon,lasso_auc,vmd_lstm_auc,delta_auc,accuracy,precision,recall,f1,n_imfs,n_features,elapsed_seconds,beats_lasso,reached_070
Corn,t21,0.6906258279120425,0.6559054598270284,-0.03472036808501411,0.5156695156695157,0.4678030303030303,0.8071895424836601,0.592326139088729,5,21,578.9987471103668,False,False
Soybeans,t21,0.5823643194583938,0.7487980769230769,0.16643375746468303,0.6381766381766382,0.7962962962962963,0.15034965034965034,0.2529411764705882,5,21,444.16586470603943,True,True
Wheat,t21,0.5715335638166233,0.7991178727746527,0.2275843089580294,0.6595441595441596,0.5504587155963303,0.8480565371024735,0.6675938803894298,5,21,698.4916985034943,True,True
