feature,importance
Copper_bb_lower90,0.037960887
Platinum_std90,0.034058806
DXY_bb_lower90,0.028708354
Oat_volume_bb_upper30,0.026568575
Soybeans_volume_bb_lower90,0.025359713
Corn_std90,0.025304958
Gold_bb_lower90,0.025229532
Copper_volume_bb_lower90,0.025122354
Soybeans_bb_upper90,0.025028436
Corn_bb_lower90,0.025022395
Cotton_volume_bb_upper90,0.02497762
Oat_volume_bb_upper90,0.024649812
Treasury_10Y_bb_lower90,0.02460331
WindSpeed_Global_Grain_vol_ratio_30_90,0.024430094
Soybean_Oil_volume_bb_lower90,0.024213837
Cocoa_bb_upper90,0.023510206
Soybean_Meal_std90,0.023260508
Lumber_volume_bb_upper90,0.022908473
Precip_Global_Grain_bb_upper90,0.02265006
Cocoa_volume_std30,0.022039508
Treasury_2Y_std90,0.021440374
Coffee_volume_bb_upper90,0.021286316
Corn_bb_upper90,0.021284869
Cocoa_bb_lower90,0.019908283
VIX_bb_upper90,0.0195593
ET0_Global_Grain_bb_upper90,0.018858617
Energy_Index_bb_upper90,0.018554207
Oat_std90,0.018543601
Sugar_bb_lower90,0.01839894
RBOB_Gasoline_bb_lower90,0.018368417
Soybean_Meal_volume_bb_lower90,0.018316075
Lumber_bb_lower30,0.018098623
Treasury_10Y_vol_ratio_30_90,0.017480098
Soybean_Meal_bb_upper90,0.01712037
USD_ARS_bb_lower90,0.016076397
Oat_bb_upper90,0.015812818
Wheat_volume_bb_lower90,0.015594323
Corn_volume_std30,0.015516561
SP500_std90,0.0144145945
Lumber_bb_upper90,0.014402189
VIX_ma90,0.013725317
Precip_Global_Grain_bb_upper30,0.013098855
Natural_Gas_bb_lower90,0.012816772
Crude_Oil_volume_bb_upper90,0.011493685
Natural_Gas_bb_upper30,0.01032926
WindSpeed_Global_Grain_bb_upper90,0.009409073
Soybean_Meal_volume_vol_ratio_30_90,0.009066659
tone_momentum_7d,0.0078089423
Palladium_bb_lower90,0.007681937
Coffee_volume_bb_upper30,0.0071102967
Soybeans_volume_bb_upper30,0.0053768917
Silver_bb_lower90,0.0053066504
tone_ma30,0.005226703
tone_mean,0.0048676166
WindSpeed_Global_Grain_bb_lower90,0.0011082257
Soybean_Oil_volume_bb_lower30,0.0008355639
tone_percentile_30d,9.5207266e-05
Sugar_std30,0.0
Sugar_volume_bb_upper90,0.0
Heating_Oil_volume_bb_upper90,0.0
Soybean_Oil_bb_upper90,0.0
Silver_std30,0.0
Corn_volume_bb_lower90,0.0
Cotton_volume_bb_lower90,0.0
Cotton_volume_bb_upper30,0.0
Sugar_volume_bb_lower90,0.0
Cotton_bb_lower90,0.0
Gold_std30,0.0
Oat_volume_bb_lower90,0.0
tone_std,0.0
Sugar_volume_bb_upper30,0.0
Silver_std90,0.0
Soybean_Oil_volume_bb_upper30,0.0
Natural_Gas_bb_lower30,0.0
Wheat_Kansas_std90,0.0
Copper_bb_upper90,0.0
Copper_volume_bb_lower30,0.0
Wheat_volume_vol_ratio_30_90,0.0
Crude_Oil_std7,0.0
tone_volatility_30d,0.0
Crude_Oil_std90,0.0
Coffee_std90,0.0
USD_CNY_bb_lower90,0.0
Precip_Global_Grain_bb_upper7,0.0
Silver_vol_ratio_7_30,0.0
tone_volatility_7d,0.0
Cotton_volume_vol_ratio_30_90,0.0
Corn_volume_bb_upper7,0.0
article_count,0.0
Cotton_bb_lower30,0.0
Corn_vol_ratio_30_90,0.0
Soybean_Meal_volume_bb_upper7,0.0
Soybean_Meal_volume_std7,0.0
Wheat_volume_vol_ratio_7_30,0.0
Natural_Gas_std90,0.0
Heating_Oil_volume_vol_ratio_30_90,0.0
SolarRad_Global_Grain_vol_ratio_30_90,0.0
Natural_Gas_volume_bb_upper90,0.0
Wheat_volume_bb_upper7,0.0
article_count_change,0.0
Crude_Oil_volume_bb_lower7,0.0
Precip_Deficit_simple_return30,0.0
Crude_Oil_volume_bb_lower90,0.0
WindSpeed_Global_Grain_simple_return90,0.0
Corn_volume_bb_lower30,0.0
Copper_volume_vol_ratio_30_90,0.0
Cocoa_vol_ratio_7_30,0.0
SolarRad_Global_Grain_simple_return1,0.0
