Commodity,Horizon,LASSO,LSTM,XGBoost,Ensemble,Best_Model,Best,Best_AUC
Corn,t5,0.5185099472825404,0.53189045124529,0.5404147577507218,0.5455845205221539,Ensemble,Ensemble,0.5455845205221539
Corn,t21,0.5154291831979343,0.6672920282038054,0.5940176490962907,0.5915576390200894,Individual,LSTM,0.6672920282038054
Soybeans,t5,0.5164263999215456,0.5128380559954491,0.5387800333431401,0.5068745709522409,Individual,XGBoost,0.5387800333431401
Soybeans,t21,0.5270333766351708,0.5702001400025456,0.5741922364675176,0.5747252834032874,Ensemble,Ensemble,0.5747252834032874
Wheat,t5,0.4914178855272825,0.4892524297185671,0.5173331604731655,0.5109550131413014,Individual,XGBoost,0.5173331604731655
Wheat,t21,0.4978388131515638,0.606423324958794,0.4592502004811548,0.4576643945469126,Individual,LSTM,0.606423324958794
