Commodity,Horizon,LASSO_AUC,LSTM_AUC,Δ_AUC,LSTM_Accuracy,LSTM_F1,LSTM_Precision,LSTM_Recall,Epochs
Corn,t5,0.5322080456861965,0.53189045124529,-0.0003175944409065101,0.5034578146611342,0.3364140480591497,0.4789473684210526,0.25925925925925924,24
Corn,t21,0.6416207942068235,0.6672920282038054,0.0256712339969819,0.44398340248962653,0.6058823529411764,0.4345991561181435,1.0,16
Soybeans,t5,0.4636841952690166,0.5128380559954491,0.04915386072643246,0.5006915629322268,0.2100656455142232,0.4,0.142433234421365,18
Soybeans,t21,0.5869620206078191,0.5702001400025456,-0.016761880605273505,0.5961272475795297,0.0,0.0,0.0,31
Wheat,t5,0.5376422770118023,0.48925242971856714,-0.0483898472932352,0.48824343015214383,0.24489795918367346,0.40268456375838924,0.17595307917888564,19
Wheat,t21,0.5502876041486993,0.606423324958794,0.05613572081009477,0.5933609958506224,0.5050505050505051,0.487012987012987,0.5244755244755245,27
