Commodity,Horizon,Days,Model_Type,Best_C,L1_Ratio,N_Features,Sparsity_%,CV_AUC,Test_Accuracy,Test_AUC,Test_F1,Test_Precision,Test_Recall
Corn,t1,1,"Elastic Net (L1=70%, L2=30%)",0.01,0.7,17,96.34408602150538,0.4885296521409728,0.4771505376344086,0.5172316384180791,0.642791551882461,0.47619047619047616,0.9887005649717514
Corn,t5,5,"Elastic Net (L1=70%, L2=30%)",0.01,0.7,31,93.33333333333333,0.5085828500968896,0.5161290322580645,0.5294104890302527,0.29133858267716534,0.5174825174825175,0.20273972602739726
Corn,t21,21,"Elastic Net (L1=70%, L2=30%)",0.01,0.7,44,90.53763440860216,0.5337817706595739,0.5147849462365591,0.6906258279120425,0.5777777777777777,0.4634146341463415,0.7670807453416149
Soybeans,t1,1,LASSO (L1 puro),0.5,1.0,51,5.555555555555558,0.494316005764497,0.489247311827957,0.4808010819959063,0.6346153846153846,0.48600883652430044,0.9141274238227147
Soybeans,t5,5,LASSO (L1 puro),0.5,1.0,103,6.36363636363636,0.514387155809716,0.521505376344086,0.46345228432282004,0.03783783783783784,0.3888888888888889,0.019886363636363636
Soybeans,t21,21,LASSO (L1 puro),0.5,1.0,99,6.6037735849056585,0.5518109549027168,0.4529569892473118,0.5823643194583938,0.6005888125613347,0.4309859154929577,0.9902912621359223
Wheat,t1,1,"Elastic Net (L1=70%, L2=30%)",0.1,0.7,44,27.86885245901639,0.4917337348856434,0.4946236559139785,0.4966497461928935,0.5026455026455027,0.46798029556650245,0.5428571428571428
Wheat,t5,5,"Elastic Net (L1=70%, L2=30%)",0.1,0.7,86,23.214285714285708,0.5034361131248372,0.510752688172043,0.5529658100461518,0.5991189427312775,0.4900900900900901,0.7705382436260623
Wheat,t21,21,"Elastic Net (L1=70%, L2=30%)",0.1,0.7,90,16.666666666666664,0.5039630205201766,0.4771505376344086,0.5715335638166233,0.5985552115583075,0.4341317365269461,0.9634551495016611
