feature,importance
Treasury_10Y_bb_lower90,0.054167103
Soybeans_volume_ma30,0.04102597
tone_ma30,0.03473099
Cocoa_bb_lower90,0.03351832
Silver_std90,0.026306203
Coffee_volume_bb_upper90,0.024827713
Wheat_volume_std7,0.022009816
RBOB_Gasoline_std90,0.021637613
Copper_volume_vol_ratio_7_30,0.021221798
Cotton_volume_bb_upper30,0.021099884
Soybeans_volume_vol_ratio_30_90,0.020830348
Lumber_bb_lower90,0.019658536
RH_Global_Grain,0.019294094
Wheat_Kansas_std30,0.019286755
Corn_vol_ratio_30_90,0.018913383
Wheat_volume_bb_lower30,0.017951753
DXY_bb_lower90,0.017899115
Wheat_Kansas_bb_lower90,0.017776553
VIX_bb_upper90,0.017709907
USD_ARS_bb_lower90,0.017586393
Heating_Oil_volume_bb_lower30,0.017329793
Sugar_vol_ratio_30_90,0.01730004
Corn_vol_ratio_7_30,0.01697722
Natural_Gas_volume_vol_ratio_30_90,0.016759377
Copper_volume_vol_ratio_30_90,0.016625902
Crude_Oil_volume_bb_lower7,0.01650297
Lumber_bb_lower30,0.016486399
Soybean_Meal_bb_upper90,0.016439779
Sugar_volume_vol_ratio_30_90,0.016404368
RH_Global_Grain_vol_ratio_30_90,0.016301623
Copper_volume_bb_lower30,0.016221905
Copper_vol_ratio_30_90,0.016059643
Wheat_volume_vol_ratio_7_30,0.015878139
Baltic_Dry_Index_bb_lower90,0.015734626
Precip_Global_Grain_vol_ratio_30_90,0.015200882
Crude_Oil_std30,0.015001864
Copper_std90,0.014943888
Natural_Gas_std30,0.014868173
Gold_vol_ratio_30_90,0.014526089
RBOB_Gasoline_bb_upper90,0.0144191915
Soybeans_volume_bb_lower7,0.013899667
Soybeans_std7,0.013829605
Wheat_volume_vol_ratio_30_90,0.013253529
Soybeans_std90,0.0129695665
Wheat_volume_bb_upper7,0.01287768
Crude_Oil_volume_bb_upper90,0.012804055
Copper_bb_lower90,0.012143014
Silver_std30,0.011855666
Wheat_Kansas_vol_ratio_7_30,0.01180007
Copper_volume_bb_lower90,0.0116991615
Crude_Oil_std90,0.011281029
Crude_Oil_vol_ratio_7_30,0.010115443
tone_volatility_7d,0.009593687
Soybeans_volume_bb_upper90,0.0095096985
Natural_Gas_std7,0.0055310167
Natural_Gas_volume_std7,0.005177477
Wheat_vol_ratio_7_30,0.0047976226
Soybeans_volume_bb_upper7,0.004705653
Heating_Oil_volume_std7,0.0034874594
Heating_Oil_vol_ratio_30_90,0.0012348962
Natural_Gas_volume_bb_upper90,0.0
Silver_vol_ratio_30_90,0.0
Energy_Index_bb_upper90,0.0
Cocoa_volume_bb_upper90,0.0
tone_std,0.0
Corn_volume_ma30,0.0
Gold_std90,0.0
Heating_Oil_volume_bb_upper90,0.0
tone_volatility_30d,0.0
Oat_volume_bb_upper90,0.0
Soybeans_volume_bb_lower90,0.0
Crude_Oil_vol_ratio_30_90,0.0
Lumber_std30,0.0
Corn_volume_bb_lower90,0.0
Wheat_volume_ma30,0.0
Natural_Gas_bb_lower30,0.0
Soybeans_volume_bb_upper30,0.0
Soybean_Meal_volume_bb_lower90,0.0
Wheat_volume_bb_lower90,0.0
Heating_Oil_volume_ma7,0.0
Natural_Gas_bb_upper90,0.0
article_count,0.0
Soybean_Meal_volume_vol_ratio_30_90,0.0
Cocoa_volume_bb_upper30,0.0
Live_Cattle_vol_ratio_30_90,0.0
Treasury_10Y_std90,0.0
ET0_Global_Grain_log_return90,0.0
Corn_std7,0.0
Corn_std90,0.0
RBOB_Gasoline_vol_ratio_30_90,0.0
Lumber_volume_bb_lower90,0.0
Sugar_volume_bb_upper90,0.0
Crude_Oil_volume_bb_lower90,0.0
Soybeans_vol_ratio_30_90,0.0
Coffee_volume_vol_ratio_30_90,0.0
Crude_Oil_volume_vol_ratio_7_30,0.0
tone_momentum_7d,0.0
Coffee_std90,0.0
Heating_Oil_volume_vol_ratio_7_30,0.0
tone_mean,0.0
Precip_Global_Grain_bb_upper7,0.0
article_count_change,0.0
Soybeans_std30,0.0
RBOB_Gasoline_volume_bb_upper90,0.0
Crude_Oil_volume_std7,0.0
tone_percentile_30d,0.0
Heating_Oil_std7,0.0
Oat_bb_upper90,0.0
Lumber_bb_upper90,0.0
RBOB_Gasoline_volume_vol_ratio_7_30,0.0
