Commodity,Horizon,LASSO_AUC,XGB_AUC,Ensemble_Simple_AUC,Ensemble_Weighted_AUC,Best_Individual,Best_Ensemble,Improvement,Weight_LASSO,Weight_XGB
Corn,t5,0.5185099472825404,0.5404147577507218,0.5455845205221539,0.5455845205221539,0.5404147577507218,0.5455845205221539,0.005169762771432107,0.5,0.5
Corn,t21,0.5154291831979343,0.5940176490962907,0.5915576390200894,0.5915576390200894,0.5940176490962907,0.5915576390200894,-0.0024600100762013355,0.5,0.5
Soybeans,t5,0.5164263999215456,0.5387800333431401,0.5068745709522409,0.5068745709522409,0.5387800333431401,0.5068745709522409,-0.0319054623908992,0.5,0.5
Soybeans,t21,0.5270333766351708,0.5741922364675176,0.5747252834032874,0.5747252834032874,0.5741922364675176,0.5747252834032874,0.000533046935769832,0.5,0.5
Wheat,t5,0.4914178855272825,0.5173331604731655,0.5109550131413014,0.5109550131413014,0.5173331604731655,0.5109550131413014,-0.006378147331864037,0.5,0.5
Wheat,t21,0.4978388131515638,0.4592502004811548,0.4576643945469126,0.4576643945469126,0.4978388131515638,0.4576643945469126,-0.04017441860465121,0.5,0.5
