Commodity,Horizon,LASSO_AUC,LSTM_AUC,XGB_AUC,Δ_vs_LASSO,Δ_vs_LSTM,XGB_Accuracy,XGB_F1,XGB_Recall,Best_Iter
Corn,t5,0.5322080456861965,0.53189045124529,0.5404147577507218,0.008206712064525279,0.008524306505431789,0.5356435643564357,0.5026511134676565,0.46108949416342415,2
Corn,t21,0.6416207942068235,0.6672920282038054,0.5940176490962907,-0.04760314511053276,-0.07327437910751466,0.5732673267326732,0.495906432748538,0.4472573839662447,3
Soybeans,t5,0.4636841952690166,0.5128380559954491,0.5387800333431401,0.07509583807412346,0.025941977347690992,0.5217821782178218,0.43508771929824563,0.37575757575757573,8
Soybeans,t21,0.5869620206078191,0.5702001400025456,0.5741922364675176,-0.012769784140301499,0.003992096464972006,0.5386138613861386,0.4358353510895884,0.38876889848812096,7
Wheat,t5,0.5376422770118023,0.4892524297185671,0.5173331604731655,-0.020309116538636873,0.028080730754598382,0.501980198019802,0.4841025641025641,0.4886128364389234,2
Wheat,t21,0.5502876041486993,0.606423324958794,0.4592502004811548,-0.09103740366754448,-0.14717312447763925,0.4910891089108911,0.34271099744245526,0.3116279069767442,6
