commodity,horizon,horizon_days,train_auc,test_auc,test_accuracy,test_precision,test_recall,test_f1,best_iteration,n_features,train_samples,test_samples,elapsed_seconds
Corn,t5,5,0.6227633442257943,0.5404147577507218,0.5356435643564357,0.5524475524475524,0.46108949416342415,0.5026511134676565,2,110,4711,1010,0.09452986717224121
Corn,t21,21,0.7421298954750052,0.5940176490962907,0.5732673267326732,0.5564304461942258,0.4472573839662447,0.495906432748538,3,108,4711,1010,0.09799575805664062
Soybeans,t5,5,0.6937034513586976,0.5387800333431401,0.5217821782178218,0.5166666666666667,0.37575757575757573,0.43508771929824563,8,110,4711,1010,0.11600327491760254
Soybeans,t21,21,0.7803778569901988,0.5741922364675176,0.5386138613861386,0.49586776859504134,0.38876889848812096,0.4358353510895884,7,106,4711,1010,0.10300374031066895
Wheat,t5,5,0.6304975184313317,0.5173331604731655,0.501980198019802,0.4796747967479675,0.4886128364389234,0.4841025641025641,2,112,4711,1010,0.12502574920654297
Wheat,t21,21,0.7204620063009566,0.4592502004811548,0.4910891089108911,0.3806818181818182,0.3116279069767442,0.34271099744245526,6,108,4711,1010,0.11000180244445801
