Commodity,AUC,Original_Threshold,Original_F1,Percentile_Threshold,Percentile_F1,Percentile_Recall,Oracle_Threshold,Oracle_F1,Delta_F1
Corn,0.7228081468277547,0.46909556855549217,0.6271379703534777,0.8252119818432105,0.6274509803921569,0.6274509803921569,0.8054210636424646,0.6469673405909798,0.0003130100386791179
Soybeans,0.7378883136094674,0.5138367415880315,0.10793650793650794,0.35474800691647834,0.6013986013986014,0.6013986013986014,0.3207732805863017,0.6576980568011959,0.4934620934620934
Wheat,0.7545139445254982,0.47298822921234346,0.6793478260869565,0.6116743875347631,0.6183745583038869,0.6183745583038869,0.505157989584309,0.6990014265335235,-0.06097326778306966
