Commodity,Horizon,Baseline_AUC,ElasticNet_AUC,Δ_AUC,Baseline_F1,ThreshOpt_F1,Δ_F1,Opt_Threshold,Brier_Before,Brier_After,Δ_Brier
Corn,t5,0.5322080456861965,0.532656233057433,0.0004481873712365303,0.6287952987267384,0.3333333333333333,-0.29546196539340513,0.9877676988798378,0.407270372529779,0.2571405085411736,-0.1501298639886054
Corn,t21,0.6416207942068235,0.6060978481646111,-0.0355229460422124,0.6207650273224044,0.6255707762557078,0.004805748933303433,0.5175641383641875,0.27544788399104514,0.2569369949164144,-0.01851088907463072
Soybeans,t5,0.4636841952690166,0.4636841952690166,0.0,0.0271739130434782,0.2222222222222222,0.195048309178744,0.36423478047917923,0.3568878028770612,0.2548393524549285,-0.10204845042213267
Soybeans,t21,0.5869620206078191,0.5823643194583938,-0.0045977011494252595,0.5984251968503937,0.5308056872037915,-0.06761950964660224,1.0,0.5143070267429672,0.31449460871177226,-0.19981241803119498
Wheat,t5,0.5376422770118023,0.5376422770118023,0.0,0.6235897435897436,0.4923547400611621,-0.13123500352858153,0.7928768230449602,0.33247913365535736,0.2504130569664994,-0.08206607668885796
Wheat,t21,0.5502876041486993,0.5715335638166233,0.021245959667924086,0.4344703770197486,0.591792656587473,0.15732227956772443,0.6040613861197612,0.4438194371456963,0.24432497528192568,-0.19949446186377065
