date,year,month,season,ONI
2015-06-01,2015,6,MJJ,1.18
2015-07-01,2015,7,JJA,1.52
2015-08-01,2015,8,JAS,1.86
2015-09-01,2015,9,ASO,2.16
2015-10-01,2015,10,SON,2.42
2015-11-01,2015,11,OND,2.57
2015-12-01,2015,12,NDJ,2.64
2016-01-01,2016,1,DJF,2.48
2016-02-01,2016,2,JFM,2.14
2016-03-01,2016,3,FMA,1.58
2016-04-01,2016,4,MAM,0.94
2016-05-01,2016,5,AMJ,0.39
2016-06-01,2016,6,MJJ,-0.07
2016-07-01,2016,7,JJA,-0.36
2016-08-01,2016,8,JAS,-0.54
2016-09-01,2016,9,ASO,-0.63
2016-10-01,2016,10,SON,-0.69
2016-11-01,2016,11,OND,-0.67
2016-12-01,2016,12,NDJ,-0.56
2017-01-01,2017,1,DJF,-0.34
2017-02-01,2017,2,JFM,-0.16
2017-03-01,2017,3,FMA,0.05
2017-04-01,2017,4,MAM,0.2
2017-05-01,2017,5,AMJ,0.3
2017-06-01,2017,6,MJJ,0.31
2017-07-01,2017,7,JJA,0.14
2017-08-01,2017,8,JAS,-0.11
2017-09-01,2017,9,ASO,-0.38
2017-10-01,2017,10,SON,-0.65
2017-11-01,2017,11,OND,-0.84
2017-12-01,2017,12,NDJ,-0.97
2018-01-01,2018,1,DJF,-0.92
2018-02-01,2018,2,JFM,-0.85
2018-03-01,2018,3,FMA,-0.7
2018-04-01,2018,4,MAM,-0.5
2018-05-01,2018,5,AMJ,-0.22
2018-06-01,2018,6,MJJ,-0.01
2018-07-01,2018,7,JJA,0.09
2018-08-01,2018,8,JAS,0.23
2018-09-01,2018,9,ASO,0.49
2018-10-01,2018,10,SON,0.76
2018-11-01,2018,11,OND,0.9
2018-12-01,2018,12,NDJ,0.81
2019-01-01,2019,1,DJF,0.75
2019-02-01,2019,2,JFM,0.72
2019-03-01,2019,3,FMA,0.71
2019-04-01,2019,4,MAM,0.66
2019-05-01,2019,5,AMJ,0.54
2019-06-01,2019,6,MJJ,0.45
2019-07-01,2019,7,JJA,0.28
2019-08-01,2019,8,JAS,0.14
2019-09-01,2019,9,ASO,0.19
2019-10-01,2019,10,SON,0.35
2019-11-01,2019,11,OND,0.51
2019-12-01,2019,12,NDJ,0.55
2020-01-01,2020,1,DJF,0.5
2020-02-01,2020,2,JFM,0.48
2020-03-01,2020,3,FMA,0.4
2020-04-01,2020,4,MAM,0.19
2020-05-01,2020,5,AMJ,-0.08
2020-06-01,2020,6,MJJ,-0.3
2020-07-01,2020,7,JJA,-0.41
2020-08-01,2020,8,JAS,-0.57
2020-09-01,2020,9,ASO,-0.89
2020-10-01,2020,10,SON,-1.17
2020-11-01,2020,11,OND,-1.27
2020-12-01,2020,12,NDJ,-1.19
2021-01-01,2021,1,DJF,-1.05
2021-02-01,2021,2,JFM,-0.93
2021-03-01,2021,3,FMA,-0.84
2021-04-01,2021,4,MAM,-0.66
2021-05-01,2021,5,AMJ,-0.48
2021-06-01,2021,6,MJJ,-0.38
2021-07-01,2021,7,JJA,-0.4
2021-08-01,2021,8,JAS,-0.49
2021-09-01,2021,9,ASO,-0.67
2021-10-01,2021,10,SON,-0.81
2021-11-01,2021,11,OND,-0.98
2021-12-01,2021,12,NDJ,-0.98
2022-01-01,2022,1,DJF,-0.97
2022-02-01,2022,2,JFM,-0.93
2022-03-01,2022,3,FMA,-0.99
2022-04-01,2022,4,MAM,-1.06
2022-05-01,2022,5,AMJ,-0.99
2022-06-01,2022,6,MJJ,-0.85
2022-07-01,2022,7,JJA,-0.81
2022-08-01,2022,8,JAS,-0.91
2022-09-01,2022,9,ASO,-1.01
2022-10-01,2022,10,SON,-0.99
2022-11-01,2022,11,OND,-0.92
2022-12-01,2022,12,NDJ,-0.83
2023-01-01,2023,1,DJF,-0.68
2023-02-01,2023,2,JFM,-0.43
2023-03-01,2023,3,FMA,-0.15
2023-04-01,2023,4,MAM,0.16
2023-05-01,2023,5,AMJ,0.48
2023-06-01,2023,6,MJJ,0.77
2023-07-01,2023,7,JJA,1.07
2023-08-01,2023,8,JAS,1.32
2023-09-01,2023,9,ASO,1.56
2023-10-01,2023,10,SON,1.78
2023-11-01,2023,11,OND,1.92
2023-12-01,2023,12,NDJ,1.95
2024-01-01,2024,1,DJF,1.78
2024-02-01,2024,2,JFM,1.48
2024-03-01,2024,3,FMA,1.14
2024-04-01,2024,4,MAM,0.71
2024-05-01,2024,5,AMJ,0.39
2024-06-01,2024,6,MJJ,0.15
2024-07-01,2024,7,JJA,0.04
2024-08-01,2024,8,JAS,-0.11
2024-09-01,2024,9,ASO,-0.21
2024-10-01,2024,10,SON,-0.26
2024-11-01,2024,11,OND,-0.37
2024-12-01,2024,12,NDJ,-0.53
2025-01-01,2025,1,DJF,-0.59
2025-02-01,2025,2,JFM,-0.38
2025-03-01,2025,3,FMA,-0.18
2025-04-01,2025,4,MAM,-0.09
2025-05-01,2025,5,AMJ,-0.11
2025-06-01,2025,6,MJJ,-0.11
2025-07-01,2025,7,JJA,-0.19
2025-08-01,2025,8,JAS,-0.32
2025-09-01,2025,9,ASO,-0.45
