date,news_volume,news_sentiment_normalized,news_sentiment_7d_ma,news_volume_7d_ma,news_sentiment_change,news_volume_change,news_sentiment_percentile,news_extreme_positive,news_extreme_negative
2010-01-01,42452,0.0005224343539935773,0.0005224343539935773,42452.0,,,,0,0
2010-01-02,39168,0.0005100853848874162,0.0005162598694404967,40810.0,-1.2348969106161121e-05,-3284.0,,0,0
2010-01-03,47724,0.000507428781500499,0.0005133161734604975,43114.666666666664,-2.6566033869172227e-06,8556.0,,0,0
2010-01-04,71945,0.0005162511589284534,0.0005140499198274865,50322.25,8.822377427954468e-06,24221.0,,0,0
2010-01-05,72396,0.0005251984038400534,0.0005162796166299999,54737.0,8.947244911599933e-06,451.0,,0,0
2010-01-06,90324,0.0005225266836259337,0.0005173207944626554,60668.166666666664,-2.671720214119668e-06,17928.0,,0,0
2010-01-07,86315,0.0005196642597029343,0.0005176555752112668,64332.0,-2.86242392299942e-06,-4009.0,,0,0
2010-01-08,76084,0.0005134627962068303,0.0005163739240988742,69136.57142857143,-6.201463496103969e-06,-10231.0,,0,0
2010-01-09,48465,0.0005166988236293721,0.0005173187010620109,70464.71428571429,3.2360274225417705e-06,-27619.0,,0,0
2010-01-10,45753,0.0005275704161794843,0.0005201960774447231,70183.14285714286,1.0871592550112247e-05,-2712.0,,0,0
2010-01-11,84581,0.0005458126755775389,0.0005244191512517352,71988.28571428571,1.8242259398054596e-05,38828.0,,0,0
2010-01-12,94404,0.0005472221860332024,0.0005275654058507566,75132.28571428571,1.4095104556634827e-06,9823.0,,0,0
2010-01-13,99864,0.0005477897299209277,0.0005311744124643272,76495.14285714286,5.67543887725259e-07,5460.0,,0,0
2010-01-14,95487,0.0005630036470619761,0.0005373657535156188,77805.42857142857,1.5213917141048468e-05,-4377.0,,0,0
2010-01-15,85361,0.0005487062820219066,0.0005424005372034868,79130.71428571429,-1.429736504006949e-05,-10126.0,,0,0
2010-01-16,53613,0.0005522693277028373,0.0005474820377854105,79866.14285714286,3.5630456809306564e-06,-31748.0,,0,0
2010-01-17,56067,0.0005629470577682684,0.0005525358437266654,81339.57142857143,1.067773006543113e-05,2454.0,,0,0
2010-01-18,85371,0.0005538638182616428,0.0005536860069672516,81452.42857142857,-9.083239506625586e-06,29304.0,,0,0
2010-01-19,88669,0.000562368417903145,0.0005558497543772435,80633.14285714286,8.504599641502141e-06,3298.0,,0,0
2010-01-20,89432,0.0005595879150051676,0.0005575352093892777,79142.85714285714,-2.7805028979773546e-06,763.0,,0,0
2010-01-21,90372,0.0005643086808658357,0.0005577216427898291,78412.14285714286,4.720765860668119e-06,940.0,,0,0
2010-01-22,79434,0.0005528328795246838,0.0005583111567187973,77565.42857142857,-1.1475801341151903e-05,-10938.0,,0,0
2010-01-23,51534,0.0005471949968048869,0.0005575862523048043,77268.42857142857,-5.637882719796957e-06,-27900.0,,0,0
2010-01-24,55280,0.0005570652314428242,0.0005567459914011694,77156.0,9.870234637937374e-06,3746.0,,0,0
2010-01-25,86375,0.0005520483740803546,0.000556486642232414,77299.42857142857,-5.016857362469696e-06,31095.0,,0,0
2010-01-26,91061,0.0005610342791937265,0.0005562960509882113,77641.14285714286,8.98590511337193e-06,4686.0,,0,0
2010-01-27,97661,0.0005611420473180257,0.0005565180698900482,78816.71428571429,1.0776812429925085e-07,6600.0,,0,0
2010-01-28,90129,0.0005648955366533766,0.0005566019064311255,78782.0,3.753489335350888e-06,-7532.0,,0,0
2010-01-29,81882,0.0005442169409717323,0.0005553710580664181,79131.71428571429,-2.0678595681644305e-05,-8247.0,,0,0
2010-01-30,52258,0.0005306313090042577,0.0005530048169520425,79235.14285714286,-1.3585631967474648e-05,-29624.0,36.666666666666664,0,0
2010-01-31,49506,0.0005535620731215125,0.0005525043657632837,78410.28571428571,2.293076411725482e-05,-2752.0,67.74193548387096,0,0
2024-01-01,899,-0.00011028878891905351,0.00045788477104908253,66199.42857142857,-0.000663850862040566,-48607.0,3.125,0,1
2024-01-03,1877,-9.753358296429168e-05,0.00036380364788365135,53458.857142857145,1.2755205954761826e-05,978.0,6.0606060606060606,0,1
2024-01-04,1779,-0.00011808182081779157,0.00026677166672139176,39761.42857142857,-2.0548237853499883e-05,-98.0,2.941176470588235,0,1
2024-01-05,1986,-0.00011078300912237793,0.00017024616018199826,27169.571428571428,7.2988116954136385e-06,207.0,5.714285714285714,0,1
2024-01-06,742,-0.00014070501836828622,7.240016599056703e-05,15578.142857142857,-2.9922009245908295e-05,-1244.0,2.7777777777777777,0,1
2024-01-07,872,-0.00011841717162403782,-2.032104552776089e-05,8237.285714285714,2.2287846744248406e-05,130.0,5.405405405405405,0,1
2024-01-08,2133,-9.157655308170944e-05,-0.00011248370641393544,1469.7142857142858,2.684061854232838e-05,1261.0,18.421052631578945,0,0
2024-01-09,2023,-0.00010911338025661027,-0.00011231579089072928,1630.2857142857142,-1.753682717490083e-05,-110.0,15.384615384615385,0,0
2024-01-10,1983,-8.687511912871455e-05,-0.00011079315319993254,1645.4285714285713,2.2238261127895714e-05,-40.0,22.5,0,0
2024-01-11,2000,-9.258994819407955e-05,-0.00010715145711083083,1677.0,-5.714829065364991e-06,17.0,19.51219512195122,0,0
2024-01-12,1597,-7.667220594189842e-05,-0.00010227848522790518,1621.4285714285713,1.5917742252181122e-05,-403.0,26.190476190476193,0,0
2024-01-13,700,-5.3065273023178265e-05,-8.975852160717547e-05,1615.4285714285713,2.3606932918720158e-05,-897.0,27.906976744186046,0,0
2024-01-14,820,-9.486824442398434e-05,-8.639438915002498e-05,1608.0,-4.180297140080607e-05,120.0,18.181818181818183,0,0
2024-01-15,1392,-4.828330855718121e-05,-8.020963993223523e-05,1502.142857142857,4.658493586680313e-05,572.0,31.11111111111111,0,0
2024-01-16,1825,-9.771925905445636e-05,-7.858190833192754e-05,1473.857142857143,-4.943595049727515e-05,433.0,15.217391304347828,0,0
2024-01-17,1723,-6.165163388927685e-05,-7.497855329772215e-05,1436.7142857142858,3.6067625165179504e-05,-102.0,29.78723404255319,0,0
2024-01-18,2271,-6.69999873482854e-05,-7.132284460546583e-05,1475.4285714285713,-5.348353459008553e-06,548.0,29.166666666666668,0,0
2024-01-19,1503,-0.00012168940161670098,-7.775387255900905e-05,1462.0,-5.468941426841557e-05,-768.0,4.081632653061225,0,1
