date,tone_mean,tone_std,tone_count,article_count
2010-01-01,0.052243435399357725,0.02462061424314982,42452,42452
2010-01-02,0.051008538488741616,0.02354175297421797,39168,39168
2010-01-03,0.050742878150049894,0.02209366116940852,47724,47724
2010-01-04,0.05162511589284534,0.023342817602559116,71945,71945
2010-01-05,0.05251984038400533,0.023417361317402588,72396,72396
2010-01-06,0.05225266836259337,0.023595514224641918,90324,90324
2010-01-07,0.051966425970293426,0.023534956825451956,86315,86315
2010-01-08,0.051346279620683034,0.023313443043669058,76084,76084
2010-01-09,0.05166988236293721,0.024009703899151757,48465,48465
2010-01-10,0.05275704161794843,0.023789314269818035,45753,45753
2010-01-11,0.054581267557753894,0.024095887631673026,84581,84581
2010-01-12,0.054722218603320244,0.023810149191524025,94404,94404
2010-01-13,0.054778972992092764,0.023166895113121273,99864,99864
2010-01-14,0.05630036470619761,0.023134791123920306,95487,95487
2010-01-15,0.054870628202190665,0.023748758886259002,85361,85361
2010-01-16,0.055226932770283725,0.02335596334455875,53613,53613
2010-01-17,0.056294705776826846,0.02320034636005664,56067,56067
2010-01-18,0.05538638182616429,0.023739492132883507,85371,85371
2010-01-19,0.0562368417903145,0.02371539170163986,88669,88669
2010-01-20,0.05595879150051676,0.023839407377187163,89432,89432
2010-01-21,0.056430868086583576,0.023565404393708436,90372,90372
2010-01-22,0.05528328795246838,0.0233506464961668,79434,79434
2010-01-23,0.054719499680488684,0.023694996199568243,51534,51534
2010-01-24,0.05570652314428242,0.023383875447963092,55280,55280
2010-01-25,0.05520483740803545,0.02406340707467485,86375,86375
2010-01-26,0.05610342791937265,0.024210549329023362,91061,91061
2010-01-27,0.05611420473180257,0.02392439512487752,97661,97661
2010-01-28,0.056489553665337665,0.023879622522094718,90129,90129
2010-01-29,0.05442169409717323,0.023795734620270185,81882,81882
2010-01-30,0.05306313090042577,0.023897073721346754,52258,52258
2010-01-31,0.055356207312151254,0.023516336572950963,49506,49506
2024-01-01,-0.01102887889190535,0.03789807429869335,899,899
2024-01-03,-0.009753358296429168,0.04023386690942576,1877,1877
2024-01-04,-0.011808182081779157,0.040589492711440966,1779,1779
2024-01-05,-0.011078300912237793,0.041737878250934314,1986,1986
2024-01-06,-0.014070501836828621,0.03784876889873556,742,742
2024-01-07,-0.011841717162403781,0.03823472358132711,872,872
2024-01-08,-0.009157655308170944,0.04065929436864968,2133,2133
2024-01-09,-0.010911338025661027,0.0397972575306804,2023,2023
2024-01-10,-0.008687511912871456,0.04161184540917683,1983,1983
2024-01-11,-0.009258994819407954,0.040582561079975855,2000,2000
2024-01-12,-0.007667220594189843,0.042332514689683375,1597,1597
2024-01-13,-0.005306527302317826,0.04046516910120901,700,700
2024-01-14,-0.009486824442398433,0.03913401101025923,820,820
2024-01-15,-0.004828330855718121,0.03846134628940923,1392,1392
2024-01-16,-0.009771925905445636,0.04007202100776118,1825,1825
2024-01-17,-0.006165163388927686,0.03940391491545649,1723,1723
2024-01-18,-0.0066999987348285404,0.03917933095585855,2271,2271
2024-01-19,-0.012168940161670097,0.041243911190334284,1503,1503
2024-01-20,-0.007646215959888352,0.040488695650717,844,844
2024-01-21,-0.008801954186269249,0.037041533037231206,887,887
2024-01-22,-0.009007088411670913,0.040556207391036374,1742,1742
2024-01-23,-0.00655944870708129,0.03983132796771768,2182,2182
2024-01-24,-0.0041314011841214375,0.038233006641179755,1962,1962
2024-01-25,-0.009606537900109015,0.039286150851551634,1976,1976
2024-01-26,-0.009225290550014387,0.04043849509623411,1797,1797
2024-01-27,-0.009825798068875524,0.03835837538704059,763,763
2024-01-28,-0.008625066841254716,0.0391296153313252,1010,1010
2024-01-29,-0.008082651593760051,0.040682025503423855,1653,1653
2024-01-30,-0.0014674104617573367,0.04391170061033529,1950,1950
2024-01-31,-0.0044332105321595915,0.03845171700580969,1966,1966
