EDAD,edad2,educ,ingreso_total_familiar,horastrab,POBRE,ANO,HOGAR_ID
7.0,49.0,7,478610.57301293896,45.0,0,2005,261607  _1.0
33.0,1089.0,14,106832.71719038817,84.0,1,2005,261640  _1.0
27.0,729.0,14,106832.71719038817,84.0,1,2005,261640  _1.0
7.0,49.0,7,106832.71719038817,84.0,1,2005,261640  _1.0
29.0,841.0,12,106832.71719038817,8.0,1,2005,261740  _1.0
9.0,81.0,7,106832.71719038817,8.0,1,2005,261740  _1.0
7.0,49.0,7,106832.71719038817,8.0,1,2005,261740  _1.0
3.0,9.0,3,106832.71719038817,8.0,1,2005,261740  _1.0
25.0,625.0,17,320498.1515711645,59.0,0,2005,261986  _1.0
24.0,576.0,9,320498.1515711645,59.0,0,2005,261986  _1.0
60.0,3600.0,9,391719.9630314233,72.0,0,2005,262003  _1.0
23.0,529.0,12,391719.9630314233,72.0,0,2005,262003  _1.0
49.0,2401.0,9,284887.2458410351,45.0,0,2005,262392  _1.0
37.0,1369.0,12,1182282.0702402957,67.0,0,2005,262660  _1.0
39.0,1521.0,14,1182282.0702402957,67.0,0,2005,262660  _1.0
13.0,169.0,9,1182282.0702402957,67.0,0,2005,262660  _1.0
12.0,144.0,7,1182282.0702402957,67.0,0,2005,262660  _1.0
