EDAD,edad2,educ,ingreso_total_familiar,horastrab,POBRE,ANO,HOGAR_ID
29.0,841.0,14,525260.8595194084,54.0,0,2005,251540  _1.0
41.0,1681.0,9,277765.0646950092,30.0,1,2005,251692  _1.0
38.0,1444.0,12,277765.0646950092,30.0,1,2005,251692  _1.0
17.0,289.0,12,277765.0646950092,30.0,1,2005,251692  _1.0
15.0,225.0,12,277765.0646950092,30.0,1,2005,251692  _1.0
12.0,144.0,7,277765.0646950092,30.0,1,2005,251692  _1.0
7.0,49.0,7,277765.0646950092,30.0,1,2005,251692  _1.0
6.0,36.0,7,277765.0646950092,30.0,1,2005,251692  _1.0
3.0,9.0,3,277765.0646950092,30.0,1,2005,251692  _1.0
39.0,1521.0,9,462941.77449168207,45.0,0,2005,251783  _1.0
35.0,1225.0,9,462941.77449168207,45.0,0,2005,251783  _1.0
17.0,289.0,14,462941.77449168207,45.0,0,2005,251783  _1.0
12.0,144.0,7,462941.77449168207,45.0,0,2005,251783  _1.0
8.0,64.0,7,462941.77449168207,45.0,0,2005,251783  _1.0
56.0,3136.0,9,640996.303142329,84.0,0,2005,252078  _1.0
49.0,2401.0,9,640996.303142329,84.0,0,2005,252078  _1.0
28.0,784.0,14,640996.303142329,84.0,0,2005,252078  _1.0
25.0,625.0,17,640996.303142329,84.0,0,2005,252078  _1.0
34.0,1156.0,17,462941.77449168207,20.0,0,2005,252200  _1.0
46.0,2116.0,0,925883.5489833641,45.0,0,2005,252313  _1.0
42.0,1764.0,17,925883.5489833641,45.0,0,2005,252313  _1.0
19.0,361.0,17,925883.5489833641,45.0,0,2005,252313  _1.0
15.0,225.0,12,925883.5489833641,45.0,0,2005,252313  _1.0
10.0,100.0,7,925883.5489833641,45.0,0,2005,252313  _1.0
23.0,529.0,12,413086.5064695009,56.0,0,2005,252461  _1.0
48.0,2304.0,9,413086.5064695009,56.0,0,2005,252461  _1.0
15.0,225.0,12,413086.5064695009,56.0,0,2005,252461  _1.0
46.0,2116.0,9,160249.07578558224,70.0,1,2005,252671  _1.0
34.0,1156.0,14,160249.07578558224,70.0,1,2005,252671  _1.0
64.0,4096.0,7,160249.07578558224,70.0,1,2005,252671  _1.0
14.0,196.0,9,160249.07578558224,70.0,1,2005,252671  _1.0
11.0,121.0,7,160249.07578558224,70.0,1,2005,252671  _1.0
4.0,16.0,3,160249.07578558224,70.0,1,2005,252671  _1.0
25.0,625.0,9,445136.32162661734,77.0,0,2005,252936  _2.0
22.0,484.0,12,445136.32162661734,77.0,0,2005,252936  _2.0
6.0,36.0,7,445136.32162661734,77.0,0,2005,252936  _2.0
4.0,16.0,3,445136.32162661734,77.0,0,2005,252936  _2.0
3.0,9.0,3,445136.32162661734,77.0,0,2005,252936  _2.0
46.0,2116.0,14,783439.9260628466,50.0,0,2005,253227  _1.0
44.0,1936.0,0,783439.9260628466,50.0,0,2005,253227  _1.0
16.0,256.0,12,783439.9260628466,50.0,0,2005,253227  _1.0
13.0,169.0,12,783439.9260628466,50.0,0,2005,253227  _1.0
42.0,1764.0,14,89027.26432532347,21.0,1,2005,253291  _1.0
39.0,1521.0,12,89027.26432532347,21.0,1,2005,253291  _1.0
17.0,289.0,12,89027.26432532347,21.0,1,2005,253291  _1.0
13.0,169.0,7,89027.26432532347,21.0,1,2005,253291  _1.0
34.0,1156.0,14,89027.26432532347,40.0,1,2005,253456  _1.0
30.0,900.0,14,89027.26432532347,40.0,1,2005,253456  _1.0
10.0,100.0,7,89027.26432532347,40.0,1,2005,253456  _1.0
5.0,25.0,3,89027.26432532347,40.0,1,2005,253456  _1.0
40.0,1600.0,0,1068327.1719038817,45.0,0,2005,253692  _1.0
40.0,1600.0,0,1068327.1719038817,45.0,0,2005,253692  _1.0
12.0,144.0,7,1068327.1719038817,45.0,0,2005,253692  _1.0
8.0,64.0,7,1068327.1719038817,45.0,0,2005,253692  _1.0
54.0,2916.0,0,640996.303142329,60.0,0,2005,253759  _1.0
51.0,2601.0,14,640996.303142329,60.0,0,2005,253759  _1.0
20.0,400.0,17,640996.303142329,60.0,0,2005,253759  _1.0
18.0,324.0,17,640996.303142329,60.0,0,2005,253759  _1.0
27.0,729.0,14,277765.0646950092,40.0,0,2005,253789  _1.0
3.0,9.0,3,277765.0646950092,40.0,0,2005,253789  _1.0
1.0,1.0,3,277765.0646950092,40.0,0,2005,253789  _1.0
38.0,1444.0,9,195859.98151571164,10.0,1,2005,254040  _2.0
28.0,784.0,9,195859.98151571164,10.0,1,2005,254040  _2.0
14.0,196.0,12,195859.98151571164,10.0,1,2005,254040  _2.0
17.0,289.0,12,195859.98151571164,10.0,1,2005,254040  _2.0
39.0,1521.0,0,2421541.5896487986,66.0,0,2005,254263  _1.0
34.0,1156.0,0,2421541.5896487986,66.0,0,2005,254263  _1.0
6.0,36.0,7,2421541.5896487986,66.0,0,2005,254263  _1.0
10.0,100.0,7,2421541.5896487986,66.0,0,2005,254263  _1.0
50.0,2500.0,7,395281.0536044362,50.0,0,2005,254286  _1.0
46.0,2116.0,9,395281.0536044362,50.0,0,2005,254286  _1.0
18.0,324.0,12,395281.0536044362,50.0,0,2005,254286  _1.0
15.0,225.0,12,395281.0536044362,50.0,0,2005,254286  _1.0
7.0,49.0,7,395281.0536044362,50.0,0,2005,254286  _1.0
28.0,784.0,12,53416.358595194084,30.0,1,2005,254358  _1.0
10.0,100.0,7,53416.358595194084,30.0,1,2005,254358  _1.0
3.0,9.0,3,53416.358595194084,30.0,1,2005,254358  _1.0
65.0,4225.0,9,427330.8687615527,48.0,0,2005,254679  _1.0
59.0,3481.0,9,427330.8687615527,48.0,0,2005,254679  _1.0
52.0,2704.0,9,81905.0831792976,24.0,1,2005,255090  _1.0
21.0,441.0,9,81905.0831792976,24.0,1,2005,255090  _1.0
44.0,1936.0,0,784508.2532347505,45.0,0,2005,255166  _1.0
74.0,5476.0,12,784508.2532347505,45.0,0,2005,255166  _1.0
67.0,4489.0,9,784508.2532347505,45.0,0,2005,255166  _1.0
8.0,64.0,7,784508.2532347505,45.0,0,2005,255166  _1.0
31.0,961.0,12,784508.2532347505,45.0,0,2005,255166  _1.0
61.0,3721.0,0,3561090.5730129387,80.0,0,2005,255259  _1.0
47.0,2209.0,0,3561090.5730129387,80.0,0,2005,255259  _1.0
35.0,1225.0,14,288448.33641404804,48.0,1,2005,255312  _1.0
39.0,1521.0,14,288448.33641404804,48.0,1,2005,255312  _1.0
23.0,529.0,9,288448.33641404804,48.0,1,2005,255312  _1.0
26.0,676.0,9,288448.33641404804,48.0,1,2005,255312  _1.0
49.0,2401.0,9,288448.33641404804,48.0,1,2005,255312  _1.0
19.0,361.0,12,249276.34011090573,52.0,0,2005,255508  _1.0
17.0,289.0,12,249276.34011090573,52.0,0,2005,255508  _1.0
54.0,2916.0,9,819050.8317929759,60.0,0,2005,255691  _1.0
52.0,2704.0,9,819050.8317929759,60.0,0,2005,255691  _1.0
28.0,784.0,14,819050.8317929759,60.0,0,2005,255691  _1.0
56.0,3136.0,14,427330.8687615527,16.0,0,2005,255709  _1.0
26.0,676.0,14,427330.8687615527,16.0,0,2005,255709  _1.0
13.0,169.0,9,427330.8687615527,16.0,0,2005,255709  _1.0
22.0,484.0,12,427330.8687615527,16.0,0,2005,255709  _1.0
48.0,2304.0,9,142443.62292051755,46.0,1,2005,256009  _1.0
43.0,1849.0,9,142443.62292051755,46.0,1,2005,256009  _1.0
18.0,324.0,17,142443.62292051755,46.0,1,2005,256009  _1.0
17.0,289.0,12,142443.62292051755,46.0,1,2005,256009  _1.0
11.0,121.0,7,142443.62292051755,46.0,1,2005,256009  _1.0
46.0,2116.0,14,391719.9630314233,57.0,0,2005,256076  _1.0
44.0,1936.0,14,391719.9630314233,57.0,0,2005,256076  _1.0
16.0,256.0,12,391719.9630314233,57.0,0,2005,256076  _1.0
7.0,49.0,7,391719.9630314233,57.0,0,2005,256076  _1.0
4.0,16.0,3,391719.9630314233,57.0,0,2005,256076  _1.0
81.0,6561.0,9,391719.9630314233,57.0,0,2005,256076  _1.0
85.0,7225.0,9,391719.9630314233,57.0,0,2005,256076  _1.0
49.0,2401.0,9,569774.4916820702,72.0,0,2005,256091  _1.0
48.0,2304.0,12,569774.4916820702,72.0,0,2005,256091  _1.0
24.0,576.0,0,569774.4916820702,72.0,0,2005,256091  _1.0
15.0,225.0,12,569774.4916820702,72.0,0,2005,256091  _1.0
1.0,1.0,3,569774.4916820702,72.0,0,2005,256091  _1.0
24.0,576.0,14,569774.4916820702,72.0,0,2005,256091  _1.0
50.0,2500.0,14,854661.7375231053,60.0,0,2005,256130  _1.0
25.0,625.0,0,854661.7375231053,60.0,0,2005,256130  _1.0
43.0,1849.0,14,231470.88724584103,30.0,1,2005,256418  _1.0
