CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,POBRE,EDAD,edad2,educ,ingreso_total_familiar,horastrab_x,horastrab_y,miembros_hogar,horastrab
TQSMNOSPXHMOTOCDEIJAH00878153,1.0,4,1,16.0,5.0,4.0,3,3,3.0,487500.0,1950000.0,0.0,0.0,,2025,TQSMNOSPXHMOTOCDEIJAH00878153_1.0,1.03,3.31,1208735.87,0,16.0,256.0,9,1950000.0,,,4,48.0
TQRMNOSQWHLMMMCDEIJAH00877965,1.0,5,1,11.0,5.0,4.0,3,3,3.0,67600.0,338000.0,0.0,0.0,,2025,TQRMNOSQWHLMMMCDEIJAH00877965_1.0,0.82,4.37,1595823.49,1,11.0,121.0,9,338000.0,,,5,
TQRMNOSQXHLMMMCDEIJAH00855681,1.0,1,1,59.0,2.0,1.0,1,3,6.0,226666.67,680000.0,0.0,0.0,,2025,TQRMNOSQXHLMMMCDEIJAH00855681_1.0,1.0,2.69,982326.13,1,59.0,3481.0,3,680000.0,,,3,
TQRMNOSQXHLMMMCDEIJAH00855681,1.0,2,2,66.0,2.0,1.0,1,3,4.0,226666.67,680000.0,0.0,0.0,,2025,TQRMNOSQXHLMMMCDEIJAH00855681_1.0,0.67,2.69,982326.13,1,66.0,4356.0,3,680000.0,,,3,
TQRMNOSQXHLMMMCDEIJAH00855681,1.0,3,1,21.0,5.0,4.0,5,1,0.0,226666.67,680000.0,100000.0,2.0,1.0,2025,TQRMNOSQXHLMMMCDEIJAH00855681_1.0,1.02,2.69,982326.13,1,21.0,441.0,14,680000.0,,,3,
TQRMNOPURHMOLTCDEIJAH00877966,1.0,1,2,59.0,3.0,1.0,4,1,0.0,358750.0,1435000.0,750000.0,3.0,2.0,2025,TQRMNOPURHMOLTCDEIJAH00877966_1.0,0.76,3.14,1146655.78,0,59.0,3481.0,12,1435000.0,,,4,40.0
TQRMNOPURHMOLTCDEIJAH00877966,1.0,2,2,32.0,5.0,1.0,6,1,0.0,358750.0,1435000.0,600000.0,3.0,2.0,2025,TQRMNOPURHMOLTCDEIJAH00877966_1.0,0.77,3.14,1146655.78,0,32.0,1024.0,17,1435000.0,,,4,40.0
TQRMNOPURHMOLTCDEIJAH00877966,1.0,3,2,28.0,5.0,4.0,5,3,3.0,358750.0,1435000.0,0.0,0.0,,2025,TQRMNOPURHMOLTCDEIJAH00877966_1.0,0.76,3.14,1146655.78,0,28.0,784.0,14,1435000.0,,,4,40.0
TQRMNOPURHMOLTCDEIJAH00877966,1.0,4,1,12.0,5.0,1.0,3,3,3.0,358750.0,1435000.0,0.0,0.0,,2025,TQRMNOPURHMOLTCDEIJAH00877966_1.0,0.85,3.14,1146655.78,0,12.0,144.0,9,1435000.0,,,4,40.0
TQRMNOTRQHKLSPCDEIJAH00865011,1.0,1,1,41.0,2.0,1.0,6,1,0.0,886250.0,3545000.0,1945000.0,2.0,2.0,2025,TQRMNOTRQHKLSPCDEIJAH00865011_1.0,1.0,3.64,1329244.28,0,41.0,1681.0,17,3545000.0,,,4,96.0
TQRMNOTRQHKLSPCDEIJAH00865011,1.0,2,2,38.0,2.0,1.0,5,1,0.0,886250.0,3545000.0,1000000.0,3.0,2.0,2025,TQRMNOTRQHKLSPCDEIJAH00865011_1.0,0.77,3.64,1329244.28,0,38.0,1444.0,14,3545000.0,,,4,96.0
TQRMNOTRQHKLSPCDEIJAH00865011,1.0,3,1,20.0,5.0,1.0,4,1,0.0,886250.0,3545000.0,600000.0,3.0,2.0,2025,TQRMNOTRQHKLSPCDEIJAH00865011_1.0,1.02,3.64,1329244.28,0,20.0,400.0,12,3545000.0,,,4,96.0
TQRMNOTRQHKLSPCDEIJAH00865011,1.0,4,1,12.0,5.0,1.0,3,3,3.0,886250.0,3545000.0,0.0,0.0,,2025,TQRMNOTRQHKLSPCDEIJAH00865011_1.0,0.85,3.64,1329244.28,0,12.0,144.0,9,3545000.0,,,4,96.0
TQRMNOVPSHKLSPCDEIJAH00860823,1.0,1,2,67.0,3.0,1.0,6,3,1.0,900000.0,900000.0,0.0,0.0,,2025,TQRMNOVPSHKLSPCDEIJAH00860823_1.0,0.67,0.67,244668.59000000003,0,67.0,4489.0,17,900000.0,,,1,
TQRMNORRXHJONQCDEIJAH00877967,1.0,1,1,78.0,2.0,1.0,2,3,1.0,466666.67,1400000.0,0.0,0.0,,2025,TQRMNORRXHJONQCDEIJAH00877967_1.0,0.74,2.41,880076.5700000001,0,78.0,6084.0,7,1400000.0,,,3,
TQRMNOQSWHLOONCDEIJAH00855488,1.0,1,2,72.0,3.0,1.0,3,3,1.0,340000.0,340000.0,0.0,0.0,,2025,TQRMNOQSWHLOONCDEIJAH00855488_1.0,0.67,0.67,244668.59000000003,0,72.0,5184.0,9,340000.0,,,1,
TQRMNOQQYHLMMOCDEIJAH00855453,1.0,1,1,67.0,3.0,1.0,4,1,0.0,1230000.0,1230000.0,500000.0,3.0,2.0,2025,TQRMNOQQYHLMMOCDEIJAH00855453_1.0,0.83,0.83,303096.91,0,67.0,4489.0,12,1230000.0,,,1,
TQRMNORRXHJONQCDEIJAH00877967,1.0,2,2,71.0,2.0,1.0,2,3,1.0,466666.67,1400000.0,0.0,0.0,,2025,TQRMNORRXHJONQCDEIJAH00877967_1.0,0.67,2.41,880076.5700000001,0,71.0,5041.0,7,1400000.0,,,3,
TQRMNORRXHJONQCDEIJAH00877967,1.0,3,1,60.0,5.0,1.0,2,3,7.0,466666.67,1400000.0,0.0,0.0,,2025,TQRMNORRXHJONQCDEIJAH00877967_1.0,1.0,2.41,880076.5700000001,0,60.0,3600.0,7,1400000.0,,,3,
TQRMNORTYHLMMOCDEIJAH00855656,1.0,1,1,41.0,1.0,1.0,5,1,0.0,364285.71,2550000.0,600000.0,3.0,2.0,2025,TQRMNORTYHLMMOCDEIJAH00855656_1.0,1.0,5.43,1982911.11,0,41.0,1681.0,14,2550000.0,,,7,54.0
TQRMNORTYHLMMOCDEIJAH00855656,1.0,2,2,44.0,1.0,1.0,6,1,0.0,364285.71,2550000.0,1400000.0,3.0,2.0,2025,TQRMNORTYHLMMOCDEIJAH00855656_1.0,0.77,5.43,1982911.11,0,44.0,1936.0,17,2550000.0,,,7,54.0
TQRMNORTYHLMMOCDEIJAH00855656,1.0,3,2,19.0,5.0,1.0,5,3,3.0,364285.71,2550000.0,0.0,0.0,,2025,TQRMNORTYHLMMOCDEIJAH00855656_1.0,0.76,5.43,1982911.11,0,19.0,361.0,14,2550000.0,,,7,54.0
TQRMNORTYHLMMOCDEIJAH00855656,1.0,4,2,14.0,5.0,1.0,3,3,3.0,364285.71,2550000.0,0.0,0.0,,2025,TQRMNORTYHLMMOCDEIJAH00855656_1.0,0.76,5.43,1982911.11,0,14.0,196.0,9,2550000.0,,,7,54.0
TQRMNORTYHLMMOCDEIJAH00855656,1.0,5,2,14.0,5.0,1.0,3,3,3.0,364285.71,2550000.0,0.0,0.0,,2025,TQRMNORTYHLMMOCDEIJAH00855656_1.0,0.76,5.43,1982911.11,0,14.0,196.0,9,2550000.0,,,7,54.0
TQRMNORTYHLMMOCDEIJAH00855656,1.0,6,2,11.0,5.0,1.0,1,3,3.0,364285.71,2550000.0,0.0,0.0,,2025,TQRMNORTYHLMMOCDEIJAH00855656_1.0,0.72,5.43,1982911.11,0,11.0,121.0,3,2550000.0,,,7,54.0
TQRMNORTYHLMMOCDEIJAH00855656,1.0,7,2,7.0,5.0,1.0,1,4,3.0,364285.71,2550000.0,0.0,0.0,,2025,TQRMNORTYHLMMOCDEIJAH00855656_1.0,0.66,5.43,1982911.11,0,7.0,49.0,3,2550000.0,,,7,54.0
