CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,POBRE,EDAD,edad2,educ,ingreso_total_familiar,horastrab_x,horastrab_y,miembros_hogar,horastrab
125098  ,1.0,1.0,1,80.0,,,4,3,1.0,583.0,583.0,0.0,0.0,0.0,2005,125098  _1.0,0.74,0.74,151.7518,0,80.0,6400.0,12,207611.58040665434,,,1,
125188  ,1.0,1.0,1,26.0,,,5,1,0.0,150.0,450.0,300.0,2.0,Sí,2005,125188  _1.0,1.02,1.78,365.0246,0,26.0,676.0,14,160249.07578558224,,,3,20.0
125188  ,1.0,2.0,2,27.0,,,7,3,4.0,150.0,450.0,0.0,0.0,0.0,2005,125188  _1.0,0.76,1.78,365.0246,0,27.0,729.0,0,160249.07578558224,,,3,20.0
125188  ,1.0,3.0,2,,,,1,4,5.0,150.0,450.0,0.0,0.0,0.0,2005,125188  _1.0,0.0,1.78,365.0246,0,,,3,160249.07578558224,,,3,20.0
125242  ,1.0,1.0,2,71.0,,,3,3,1.0,855.0,855.0,0.0,0.0,0.0,2005,125242  _1.0,0.67,0.67,137.39690000000002,0,71.0,5041.0,9,304473.2439926063,,,1,
125436  ,1.0,1.0,1,54.0,,,5,1,0.0,1016.0,5080.0,5000.0,2.0,No,2005,125436  _1.0,1.0,4.3,881.8009999999999,0,54.0,2916.0,14,1809034.011090573,,,5,40.0
125436  ,1.0,2.0,2,54.0,,,5,3,4.0,1016.0,5080.0,0.0,0.0,0.0,2005,125436  _1.0,0.76,4.3,881.8009999999999,0,54.0,2916.0,14,1809034.011090573,,,5,40.0
125436  ,1.0,3.0,2,27.0,,,5,3,7.0,1016.0,5080.0,0.0,0.0,0.0,2005,125436  _1.0,0.76,4.3,881.8009999999999,0,27.0,729.0,14,1809034.011090573,,,5,40.0
125436  ,1.0,4.0,1,20.0,,,4,2,0.0,1016.0,5080.0,0.0,3.0,0.0,2005,125436  _1.0,1.02,4.3,881.8009999999999,0,20.0,400.0,12,1809034.011090573,,,5,40.0
125436  ,1.0,5.0,2,18.0,,,6,3,3.0,1016.0,5080.0,0.0,0.0,0.0,2005,125436  _1.0,0.76,4.3,881.8009999999999,0,18.0,324.0,17,1809034.011090573,,,5,40.0
125533  ,1.0,1.0,1,75.0,,,7,1,0.0,350.0,1050.0,450.0,2.0,No,2005,125533  _1.0,0.83,2.98,611.1086,0,75.0,5625.0,0,373914.5101663586,,,4,25.0
125533  ,1.0,1.0,1,75.0,,,7,1,0.0,350.0,1050.0,450.0,2.0,No,2005,125533  _1.0,0.74,2.98,611.1086,0,75.0,5625.0,0,373914.5101663586,,,4,25.0
125533  ,1.0,2.0,2,66.0,,,6,3,7.0,350.0,1050.0,0.0,0.0,0.0,2005,125533  _1.0,0.67,2.98,611.1086,0,66.0,4356.0,17,373914.5101663586,,,4,25.0
125533  ,1.0,3.0,1,94.0,,,7,3,1.0,350.0,1050.0,0.0,0.0,0.0,2005,125533  _1.0,0.74,2.98,611.1086,0,94.0,8836.0,0,373914.5101663586,,,4,25.0
125533  ,2.0,Servicio doméstico en hogares,2,76.0,,,3,1,0.0,150.0,150.0,150.0,3.0,No,2005,125533  _2.0,0.63,0.63,129.1941,0,76.0,5776.0,9,53416.358595194084,,,1,48.0
125558  ,1.0,1.0,1,55.0,,,4,1,0.0,862.5,3450.0,2500.0,2.0,No,2005,125558  _1.0,1.0,3.28,672.6296,0,55.0,3025.0,12,1228576.247689464,,,4,60.0
125558  ,1.0,2.0,2,52.0,,,7,1,0.0,862.5,3450.0,500.0,2.0,No,2005,125558  _1.0,0.76,3.28,672.6296,0,52.0,2704.0,0,1228576.247689464,,,4,60.0
125558  ,1.0,3.0,2,26.0,,,6,1,0.0,862.5,3450.0,150.0,3.0,No,2005,125558  _1.0,0.76,3.28,672.6296,0,26.0,676.0,17,1228576.247689464,,,4,60.0
125558  ,1.0,4.0,2,21.0,,,6,1,0.0,862.5,3450.0,250.0,3.0,No,2005,125558  _1.0,0.76,3.28,672.6296,0,21.0,441.0,17,1228576.247689464,,,4,60.0
125599  ,1.0,1.0,1,56.0,,,5,1,0.0,660.0,3300.0,3000.0,2.0,No,2005,125599  _1.0,1.0,4.44,910.5108,0,56.0,3136.0,14,1175159.8890942698,,,5,54.0
125599  ,1.0,2.0,2,49.0,,,5,2,0.0,660.0,3300.0,0.0,0.0,0.0,2005,125599  _1.0,0.76,4.44,910.5108,0,49.0,2401.0,14,1175159.8890942698,,,5,54.0
125599  ,1.0,3.0,1,18.0,,,4,3,1.0,660.0,3300.0,0.0,0.0,0.0,2005,125599  _1.0,1.02,4.44,910.5108,0,18.0,324.0,12,1175159.8890942698,,,5,54.0
125599  ,1.0,4.0,1,16.0,,,4,3,3.0,660.0,3300.0,0.0,0.0,0.0,2005,125599  _1.0,1.03,4.44,910.5108,0,16.0,256.0,12,1175159.8890942698,,,5,54.0
125599  ,1.0,5.0,2,78.0,,,5,3,7.0,660.0,3300.0,0.0,0.0,0.0,2005,125599  _1.0,0.63,4.44,910.5108,0,78.0,6084.0,14,1175159.8890942698,,,5,54.0
126225  ,1.0,1.0,1,46.0,,,7,1,0.0,1950.0,7800.0,5000.0,3.0,No,2005,126225  _1.0,1.0,3.29,674.6803,0,46.0,2116.0,0,2777650.646950092,,,4,45.0
126225  ,1.0,2.0,2,42.0,,,7,1,0.0,1950.0,7800.0,2000.0,2.0,No,2005,126225  _1.0,0.77,3.29,674.6803,0,42.0,1764.0,0,2777650.646950092,,,4,45.0
126225  ,1.0,3.0,2,22.0,,,6,3,3.0,1950.0,7800.0,0.0,0.0,0.0,2005,126225  _1.0,0.76,3.29,674.6803,0,22.0,484.0,17,2777650.646950092,,,4,45.0
126225  ,1.0,4.0,2,19.0,,,5,2,0.0,1950.0,7800.0,0.0,0.0,0.0,2005,126225  _1.0,0.76,3.29,674.6803,0,19.0,361.0,14,2777650.646950092,,,4,45.0
126368  ,1.0,1.0,1,66.0,,,7,1,0.0,3600.0,7200.0,2800.0,3.0,No,2005,126368  _1.0,0.83,1.5,307.605,0,66.0,4356.0,0,2563985.212569316,,,2,45.0
126368  ,1.0,2.0,2,64.0,,,7,2,0.0,3600.0,7200.0,0.0,2.0,0.0,2005,126368  _1.0,0.67,1.5,307.605,0,64.0,4096.0,0,2563985.212569316,,,2,45.0
126449  ,1.0,1.0,1,37.0,,,4,1,0.0,200.0,600.0,600.0,3.0,No,2005,126449  _1.0,1.0,2.56,524.9792,0,37.0,1369.0,12,213665.43438077634,,,3,60.0
126449  ,1.0,2.0,2,31.0,,,3,3,4.0,200.0,600.0,0.0,0.0,0.0,2005,126449  _1.0,0.77,2.56,524.9792,0,31.0,961.0,9,213665.43438077634,,,3,60.0
126449  ,1.0,3.0,1,10.0,,,2,3,3.0,200.0,600.0,0.0,0.0,0.0,2005,126449  _1.0,0.79,2.56,524.9792,0,10.0,100.0,7,213665.43438077634,,,3,60.0
126768  ,2.0,1.0,1,47.0,,,6,1,0.0,3500.0,3500.0,3500.0,3.0,No,2005,126768  _2.0,1.0,1.0,205.07,0,47.0,2209.0,17,1246381.7005545285,,,1,50.0
126799  ,1.0,1.0,1,32.0,,,5,1,0.0,383.3333333333333,1150.0,550.0,3.0,No,2005,126799  _1.0,1.0,2.43,498.3201,0,32.0,1024.0,14,409525.41589648795,,,3,54.0
126799  ,1.0,2.0,2,25.0,,,5,1,0.0,383.3333333333333,1150.0,550.0,3.0,No,2005,126799  _1.0,0.76,2.43,498.3201,0,25.0,625.0,14,409525.41589648795,,,3,54.0
126799  ,1.0,3.0,2,65.0,,,4,1,0.0,383.3333333333333,1150.0,50.0,2.0,Sí,2005,126799  _1.0,0.67,2.43,498.3201,0,65.0,4225.0,12,409525.41589648795,,,3,54.0
127247  ,2.0,1.0,1,28.0,,,4,1,0.0,233.3333333333333,700.0,700.0,2.0,No,2005,127247  _2.0,1.02,1.78,365.0246,0,28.0,784.0,12,249276.34011090573,,,3,60.0
127247  ,2.0,2.0,2,25.0,,,6,3,4.0,233.3333333333333,700.0,0.0,0.0,0.0,2005,127247  _2.0,0.76,1.78,365.0246,0,25.0,625.0,17,249276.34011090573,,,3,60.0
127247  ,2.0,3.0,2,,,,1,4,5.0,233.3333333333333,700.0,0.0,0.0,0.0,2005,127247  _2.0,0.0,1.78,365.0246,0,,,3,249276.34011090573,,,3,60.0
127415  ,1.0,1.0,2,35.0,,,6,1,0.0,2210.0,2210.0,1710.0,3.0,No,2005,127415  _1.0,0.77,0.77,157.9039,0,35.0,1225.0,17,787001.0166358595,,,1,42.0
127638  ,1.0,1.0,1,47.0,,,5,1,0.0,360.0,1800.0,0.0,1.0,No,2005,127638  _1.0,1.0,4.57,937.1699,0,47.0,2209.0,14,640996.303142329,,,5,
127638  ,1.0,2.0,2,44.0,,,3,3,4.0,360.0,1800.0,0.0,0.0,0.0,2005,127638  _1.0,0.77,4.57,937.1699,0,44.0,1936.0,9,640996.303142329,,,5,
127638  ,1.0,3.0,1,21.0,,,6,1,0.0,360.0,1800.0,1200.0,3.0,No,2005,127638  _1.0,1.02,4.57,937.1699,0,21.0,441.0,17,640996.303142329,,,5,
127638  ,1.0,4.0,2,20.0,,,6,2,0.0,360.0,1800.0,0.0,3.0,0.0,2005,127638  _1.0,0.76,4.57,937.1699,0,20.0,400.0,17,640996.303142329,,,5,
127638  ,1.0,5.0,1,18.0,,,4,1,0.0,360.0,1800.0,600.0,3.0,No,2005,127638  _1.0,1.02,4.57,937.1699,0,18.0,324.0,12,640996.303142329,,,5,
127924  ,1.0,1.0,1,27.0,,,6,1,0.0,1495.0,2990.0,900.0,3.0,No,2005,127924  _1.0,1.02,1.78,365.0246,0,27.0,729.0,17,1064766.0813308686,,,2,45.0
127924  ,1.0,2.0,2,29.0,,,7,1,0.0,1495.0,2990.0,1200.0,3.0,No,2005,127924  _1.0,0.76,1.78,365.0246,0,29.0,841.0,0,1064766.0813308686,,,2,45.0
128148  ,1.0,1.0,1,53.0,,,7,1,0.0,975.0,3900.0,1500.0,2.0,Sí,2005,128148  _1.0,1.0,3.43,703.3901,0,53.0,2809.0,0,1388825.323475046,,,4,40.0
128148  ,1.0,2.0,2,48.0,,,7,1,0.0,975.0,3900.0,1000.0,3.0,No,2005,128148  _1.0,0.76,3.43,703.3901,0,48.0,2304.0,0,1388825.323475046,,,4,40.0
128148  ,1.0,3.0,2,16.0,,,4,3,3.0,975.0,3900.0,0.0,0.0,0.0,2005,128148  _1.0,0.77,3.43,703.3901,0,16.0,256.0,12,1388825.323475046,,,4,40.0
128148  ,1.0,4.0,1,13.0,,,4,3,3.0,975.0,3900.0,0.0,0.0,0.0,2005,128148  _1.0,0.9,3.43,703.3901,0,13.0,169.0,12,1388825.323475046,,,4,40.0
128301  ,1.0,1.0,1,44.0,,,7,1,0.0,600.0,3000.0,3000.0,3.0,No,2005,128301  _1.0,1.0,3.8,779.266,0,44.0,1936.0,0,1068327.1719038817,,,5,
128301  ,1.0,2.0,2,44.0,,,7,3,4.0,600.0,3000.0,0.0,0.0,0.0,2005,128301  _1.0,0.77,3.8,779.266,0,44.0,1936.0,0,1068327.1719038817,,,5,
128301  ,1.0,3.0,2,14.0,,,4,3,3.0,600.0,3000.0,0.0,0.0,0.0,2005,128301  _1.0,0.76,3.8,779.266,0,14.0,196.0,12,1068327.1719038817,,,5,
128301  ,1.0,4.0,2,11.0,,,2,3,3.0,600.0,3000.0,0.0,0.0,0.0,2005,128301  _1.0,0.72,3.8,779.266,0,11.0,121.0,7,1068327.1719038817,,,5,
128301  ,1.0,5.0,2,4.0,,,1,4,5.0,600.0,3000.0,0.0,0.0,0.0,2005,128301  _1.0,0.55,3.8,779.266,0,4.0,16.0,3,1068327.1719038817,,,5,
128340  ,1.0,2.0,2,46.0,,,5,1,0.0,300.0,600.0,600.0,3.0,No,2005,128340  _1.0,0.76,1.52,311.7064,0,46.0,2116.0,14,213665.43438077634,,,2,42.0
128340  ,1.0,3.0,2,19.0,,,6,1,0.0,300.0,600.0,0.0,3.0,No,2005,128340  _1.0,0.76,1.52,311.7064,0,19.0,361.0,17,213665.43438077634,,,2,42.0
128771  ,1.0,1.0,1,61.0,,,3,3,1.0,287.5,1150.0,0.0,0.0,0.0,2005,128771  _1.0,0.83,3.08,631.6156,0,61.0,3721.0,9,409525.41589648795,,,4,
128771  ,1.0,2.0,2,44.0,,,3,1,0.0,287.5,1150.0,800.0,3.0,No,2005,128771  _1.0,0.77,3.08,631.6156,0,44.0,1936.0,9,409525.41589648795,,,4,
128771  ,1.0,3.0,2,20.0,,,6,2,0.0,287.5,1150.0,0.0,0.0,0.0,2005,128771  _1.0,0.76,3.08,631.6156,0,20.0,400.0,17,409525.41589648795,,,4,
128771  ,1.0,4.0,2,11.0,,,2,3,3.0,287.5,1150.0,0.0,0.0,0.0,2005,128771  _1.0,0.72,3.08,631.6156,0,11.0,121.0,7,409525.41589648795,,,4,
128792  ,1.0,1.0,2,59.0,,,1,3,1.0,290.0,290.0,0.0,0.0,0.0,2005,128792  _1.0,0.76,0.76,155.8532,0,59.0,3481.0,3,103271.62661737522,,,1,
128921  ,1.0,1.0,2,33.0,,,5,1,0.0,733.3333333333334,2200.0,1400.0,3.0,No,2005,128921  _1.0,0.77,2.53,518.8271000000001,0,33.0,1089.0,14,783439.9260628466,,,3,84.0
128921  ,1.0,2.0,2,60.0,,,3,3,4.0,733.3333333333334,2200.0,0.0,0.0,0.0,2005,128921  _1.0,0.76,2.53,518.8271000000001,0,60.0,3600.0,9,783439.9260628466,,,3,84.0
128921  ,1.0,3.0,1,38.0,,,5,1,0.0,733.3333333333334,2200.0,800.0,2.0,No,2005,128921  _1.0,1.0,2.53,518.8271000000001,0,38.0,1444.0,14,783439.9260628466,,,3,84.0
129001  ,1.0,1.0,2,74.0,,,4,3,1.0,600.0,600.0,0.0,0.0,0.0,2005,129001  _1.0,0.67,0.67,137.39690000000002,0,74.0,5476.0,12,213665.43438077634,,,1,
129272  ,1.0,1.0,1,44.0,,,6,3,1.0,350.0,350.0,0.0,0.0,0.0,2005,129272  _1.0,1.0,1.0,205.07,0,44.0,1936.0,17,124638.17005545287,,,1,
129328  ,1.0,1.0,2,31.0,,,7,1,0.0,2950.0,2950.0,2000.0,2.0,No,2005,129328  _1.0,0.77,0.77,157.9039,0,31.0,961.0,0,1050521.7190388169,,,1,54.0
129670  ,1.0,1.0,2,60.0,,,5,1,0.0,1790.0,1790.0,1190.0,3.0,No,2005,129670  _1.0,0.76,0.76,155.8532,0,60.0,3600.0,14,637435.212569316,,,1,40.0
129906  ,1.0,1.0,1,74.0,,,3,3,1.0,843.3333333333334,2530.0,0.0,0.0,0.0,2005,129906  _1.0,0.83,2.13,436.7991,0,74.0,5476.0,9,900955.9149722735,,,3,
129906  ,1.0,2.0,2,68.0,,,3,3,1.0,843.3333333333334,2530.0,0.0,0.0,0.0,2005,129906  _1.0,0.67,2.13,436.7991,0,68.0,4624.0,9,900955.9149722735,,,3,
129906  ,1.0,3.0,2,88.0,,,3,3,1.0,843.3333333333334,2530.0,0.0,0.0,0.0,2005,129906  _1.0,0.63,2.13,436.7991,0,88.0,7744.0,9,900955.9149722735,,,3,
129959  ,1.0,1.0,2,25.0,,,6,1,0.0,575.0,1150.0,400.0,3.0,Sí,2005,129959  _1.0,0.76,1.52,311.7064,0,25.0,625.0,17,409525.41589648795,,,2,25.0
129959  ,1.0,2.0,2,29.0,,,6,1,0.0,575.0,1150.0,150.0,3.0,No,2005,129959  _1.0,0.76,1.52,311.7064,0,29.0,841.0,17,409525.41589648795,,,2,25.0
130029  ,1.0,1.0,2,33.0,,,7,1,0.0,1575.0,1575.0,1575.0,3.0,No,2005,130029  _1.0,0.77,0.77,157.9039,0,33.0,1089.0,0,560871.7652495379,,,1,27.0
130128  ,1.0,1.0,2,52.0,,,7,1,0.0,700.0,2800.0,1200.0,1.0,No,2005,130128  _1.0,0.76,3.82,783.3674000000001,0,52.0,2704.0,0,997105.3604436229,,,4,
130128  ,1.0,2.0,1,23.0,,,6,1,0.0,700.0,2800.0,450.0,3.0,No,2005,130128  _1.0,1.02,3.82,783.3674000000001,0,23.0,529.0,17,997105.3604436229,,,4,
130128  ,1.0,3.0,1,21.0,,,6,1,0.0,700.0,2800.0,450.0,3.0,No,2005,130128  _1.0,1.02,3.82,783.3674000000001,0,21.0,441.0,17,997105.3604436229,,,4,
130128  ,1.0,4.0,1,27.0,,,7,2,0.0,700.0,2800.0,0.0,3.0,0.0,2005,130128  _1.0,1.02,3.82,783.3674000000001,0,27.0,729.0,0,997105.3604436229,,,4,
130657  ,1.0,1.0,1,60.0,,,7,1,0.0,871.25,3485.0,0.0,2.0,No,2005,130657  _1.0,1.0,3.78,775.1646000000001,0,60.0,3600.0,0,1241040.0646950093,,,4,21.0
130657  ,1.0,2.0,2,60.0,,,5,3,4.0,871.25,3485.0,0.0,0.0,0.0,2005,130657  _1.0,0.76,3.78,775.1646000000001,0,60.0,3600.0,14,1241040.0646950093,,,4,21.0
130657  ,1.0,3.0,1,33.0,,,6,1,0.0,871.25,3485.0,1735.0,3.0,No,2005,130657  _1.0,1.0,3.78,775.1646000000001,0,33.0,1089.0,17,1241040.0646950093,,,4,21.0
130657  ,1.0,4.0,1,28.0,,,5,1,0.0,871.25,3485.0,750.0,3.0,No,2005,130657  _1.0,1.02,3.78,775.1646000000001,0,28.0,784.0,14,1241040.0646950093,,,4,21.0
130914  ,1.0,1.0,1,25.0,,,5,1,0.0,780.0,780.0,780.0,3.0,No,2005,130914  _1.0,1.02,1.02,209.1714,0,25.0,625.0,14,277765.0646950092,,,1,32.0
130930  ,1.0,1.0,2,50.0,,,6,1,0.0,566.6666666666666,1700.0,1500.0,1.0,No,2005,130930  _1.0,0.76,2.29,469.6103,0,50.0,2500.0,17,605385.3974121996,,,3,60.0
130930  ,1.0,2.0,2,20.0,,,6,3,3.0,566.6666666666666,1700.0,0.0,0.0,0.0,2005,130930  _1.0,0.76,2.29,469.6103,0,20.0,400.0,17,605385.3974121996,,,3,60.0
130930  ,1.0,3.0,2,16.0,,,4,3,3.0,566.6666666666666,1700.0,0.0,0.0,0.0,2005,130930  _1.0,0.77,2.29,469.6103,0,16.0,256.0,12,605385.3974121996,,,3,60.0
130931  ,1.0,1.0,1,71.0,,,6,1,0.0,210.0,420.0,420.0,3.0,Sí,2005,130931  _1.0,0.83,1.59,326.0613,0,71.0,5041.0,17,149565.80406654344,,,2,
130931  ,1.0,2.0,2,57.0,,,7,2,0.0,210.0,420.0,0.0,0.0,0.0,2005,130931  _1.0,0.76,1.59,326.0613,0,57.0,3249.0,0,149565.80406654344,,,2,
130997  ,1.0,1.0,2,63.0,,,5,3,1.0,580.0,580.0,0.0,0.0,0.0,2005,130997  _1.0,0.67,0.67,137.39690000000002,0,63.0,3969.0,14,206543.25323475045,,,1,
131244  ,1.0,1.0,1,34.0,,,5,1,0.0,1400.0,2800.0,1000.0,3.0,No,2005,131244  _1.0,1.0,1.76,360.9232,0,34.0,1156.0,14,997105.3604436229,,,2,63.0
131244  ,1.0,2.0,2,28.0,,,4,1,0.0,1400.0,2800.0,1000.0,3.0,No,2005,131244  _1.0,0.76,1.76,360.9232,0,28.0,784.0,12,997105.3604436229,,,2,63.0
131469  ,1.0,1.0,1,74.0,,,1,3,1.0,308.0,308.0,0.0,0.0,0.0,2005,131469  _1.0,0.83,0.83,170.20809999999997,0,74.0,5476.0,3,109681.58964879852,,,1,
131685  ,1.0,1.0,2,94.0,,,3,3,1.0,830.0,830.0,0.0,0.0,0.0,2005,131685  _1.0,0.63,0.63,129.1941,0,94.0,8836.0,9,295570.51756007393,,,1,
131837  ,1.0,1.0,1,75.0,,,5,1,0.0,1004.0,2008.0,900.0,3.0,No,2005,131837  _1.0,0.83,2.24,459.3568,0,75.0,5625.0,14,715066.9870609981,,,3,44.0
131837  ,1.0,1.0,1,75.0,,,5,1,0.0,1004.0,2008.0,900.0,3.0,No,2005,131837  _1.0,0.74,2.24,459.3568,0,75.0,5625.0,14,715066.9870609981,,,3,44.0
131837  ,1.0,2.0,2,66.0,,,5,3,4.0,1004.0,2008.0,0.0,0.0,0.0,2005,131837  _1.0,0.67,2.24,459.3568,0,66.0,4356.0,14,715066.9870609981,,,3,44.0
132112  ,1.0,1.0,1,60.0,,,4,1,0.0,431.25,3450.0,2000.0,1.0,No,2005,132112  _1.0,1.0,6.38,1308.3466,0,60.0,3600.0,12,1228576.247689464,,,8,44.0
132112  ,1.0,2.0,2,57.0,,,3,1,0.0,431.25,3450.0,350.0,3.0,No,2005,132112  _1.0,0.76,6.38,1308.3466,0,57.0,3249.0,9,1228576.247689464,,,8,44.0
132112  ,1.0,3.0,2,27.0,,,5,1,0.0,431.25,3450.0,500.0,2.0,No,2005,132112  _1.0,0.76,6.38,1308.3466,0,27.0,729.0,14,1228576.247689464,,,8,44.0
132112  ,1.0,4.0,1,25.0,,,4,1,0.0,431.25,3450.0,600.0,3.0,No,2005,132112  _1.0,1.02,6.38,1308.3466,0,25.0,625.0,12,1228576.247689464,,,8,44.0
132112  ,1.0,5.0,1,18.0,,,4,3,3.0,431.25,3450.0,0.0,0.0,0.0,2005,132112  _1.0,1.02,6.38,1308.3466,0,18.0,324.0,12,1228576.247689464,,,8,44.0
132112  ,1.0,6.0,2,24.0,,,4,3,4.0,431.25,3450.0,0.0,0.0,0.0,2005,132112  _1.0,0.76,6.38,1308.3466,0,24.0,576.0,12,1228576.247689464,,,8,44.0
132112  ,1.0,7.0,2,5.0,,,2,4,5.0,431.25,3450.0,0.0,0.0,0.0,2005,132112  _1.0,0.6,6.38,1308.3466,0,5.0,25.0,7,1228576.247689464,,,8,44.0
132112  ,1.0,8.0,1,2.0,,,1,4,5.0,431.25,3450.0,0.0,0.0,0.0,2005,132112  _1.0,0.46,6.38,1308.3466,0,2.0,4.0,3,1228576.247689464,,,8,44.0
132113  ,1.0,1.0,1,54.0,,,6,1,0.0,525.0,2100.0,0.0,1.0,Sí,2005,132113  _1.0,1.0,3.8,779.266,0,54.0,2916.0,17,747829.0203327172,,,4,25.0
132113  ,1.0,2.0,2,51.0,,,5,1,0.0,525.0,2100.0,500.0,3.0,Sí,2005,132113  _1.0,0.76,3.8,779.266,0,51.0,2601.0,14,747829.0203327172,,,4,25.0
132113  ,1.0,3.0,1,25.0,,,6,1,0.0,525.0,2100.0,1000.0,3.0,No,2005,132113  _1.0,1.02,3.8,779.266,0,25.0,625.0,17,747829.0203327172,,,4,25.0
132113  ,1.0,4.0,1,24.0,,,6,1,0.0,525.0,2100.0,600.0,3.0,No,2005,132113  _1.0,1.02,3.8,779.266,0,24.0,576.0,17,747829.0203327172,,,4,25.0
132764  ,1.0,1.0,1,23.0,,,6,2,0.0,700.0,2100.0,0.0,3.0,0.0,2005,132764  _1.0,1.02,3.08,631.6156,0,23.0,529.0,17,747829.0203327172,,,3,
132764  ,1.0,2.0,1,26.0,,,7,1,0.0,700.0,2100.0,900.0,3.0,No,2005,132764  _1.0,1.02,3.08,631.6156,0,26.0,676.0,0,747829.0203327172,,,3,
132764  ,1.0,3.0,1,17.0,,,5,3,7.0,700.0,2100.0,0.0,0.0,0.0,2005,132764  _1.0,1.04,3.08,631.6156,0,17.0,289.0,14,747829.0203327172,,,3,
132832  ,1.0,1.0,1,74.0,,,4,3,1.0,370.0,740.0,0.0,0.0,0.0,2005,132832  _1.0,0.83,1.5,307.605,0,74.0,5476.0,12,263520.7024029575,,,2,
132832  ,1.0,2.0,2,71.0,,,3,3,4.0,370.0,740.0,0.0,0.0,0.0,2005,132832  _1.0,0.67,1.5,307.605,0,71.0,5041.0,9,263520.7024029575,,,2,
133114  ,1.0,1.0,1,39.0,,,3,1,0.0,250.0,1000.0,1000.0,3.0,No,2005,133114  _1.0,1.0,3.3200000000000003,680.8324,0,39.0,1521.0,9,356109.0573012939,,,4,45.0
133114  ,1.0,2.0,2,32.0,,,3,3,4.0,250.0,1000.0,0.0,0.0,0.0,2005,133114  _1.0,0.77,3.3200000000000003,680.8324,0,32.0,1024.0,9,356109.0573012939,,,4,45.0
133114  ,1.0,3.0,2,13.0,,,4,3,3.0,250.0,1000.0,0.0,0.0,0.0,2005,133114  _1.0,0.76,3.3200000000000003,680.8324,0,13.0,169.0,12,356109.0573012939,,,4,45.0
133114  ,1.0,4.0,1,10.0,,,2,3,3.0,250.0,1000.0,0.0,0.0,0.0,2005,133114  _1.0,0.79,3.3200000000000003,680.8324,0,10.0,100.0,7,356109.0573012939,,,4,45.0
133376  ,1.0,1.0,1,84.0,,,3,3,1.0,608.0,1216.0,0.0,0.0,0.0,2005,133376  _1.0,0.74,1.37,280.9459,0,84.0,7056.0,9,433028.6136783734,,,2,
133376  ,1.0,2.0,2,84.0,,,2,3,1.0,608.0,1216.0,0.0,0.0,0.0,2005,133376  _1.0,0.63,1.37,280.9459,0,84.0,7056.0,7,433028.6136783734,,,2,
133430  ,1.0,1.0,2,49.0,,,7,1,0.0,500.0,1500.0,1500.0,3.0,No,2005,133430  _1.0,0.76,2.5,512.675,0,49.0,2401.0,0,534163.5859519409,,,3,40.0
133430  ,1.0,2.0,1,57.0,,,7,2,0.0,500.0,1500.0,0.0,3.0,0.0,2005,133430  _1.0,1.0,2.5,512.675,0,57.0,3249.0,0,534163.5859519409,,,3,40.0
133430  ,1.0,3.0,2,12.0,,,2,3,3.0,500.0,1500.0,0.0,0.0,0.0,2005,133430  _1.0,0.74,2.5,512.675,0,12.0,144.0,7,534163.5859519409,,,3,40.0
133492  ,1.0,1.0,1,33.0,,,4,1,0.0,940.0,1880.0,300.0,2.0,No,2005,133492  _1.0,1.0,2.0,410.14,0,33.0,1089.0,12,669485.0277264325,,,2,32.0
133492  ,1.0,2.0,1,33.0,,,5,1,0.0,940.0,1880.0,630.0,3.0,No,2005,133492  _1.0,1.0,2.0,410.14,0,33.0,1089.0,14,669485.0277264325,,,2,32.0
134256  ,1.0,1.0,1,70.0,,,6,1,0.0,116.66666666666669,350.0,250.0,3.0,Sí,2005,134256  _1.0,0.83,2.27,465.5089,1,70.0,4900.0,17,124638.17005545287,,,3,42.0
134256  ,1.0,2.0,2,69.0,,,3,3,4.0,116.66666666666669,350.0,0.0,0.0,0.0,2005,134256  _1.0,0.67,2.27,465.5089,1,69.0,4761.0,9,124638.17005545287,,,3,42.0
134256  ,1.0,3.0,2,34.0,,,5,2,0.0,116.66666666666669,350.0,0.0,3.0,0.0,2005,134256  _1.0,0.77,2.27,465.5089,1,34.0,1156.0,14,124638.17005545287,,,3,42.0
134414  ,1.0,1.0,1,42.0,,,6,1,0.0,800.0,3200.0,1600.0,3.0,No,2005,134414  _1.0,1.0,3.2,656.224,0,42.0,1764.0,17,1139548.9833641404,,,4,
134414  ,1.0,2.0,2,40.0,,,7,1,0.0,800.0,3200.0,1000.0,3.0,No,2005,134414  _1.0,0.77,3.2,656.224,0,40.0,1600.0,0,1139548.9833641404,,,4,
134414  ,1.0,3.0,2,12.0,,,4,3,3.0,800.0,3200.0,0.0,0.0,0.0,2005,134414  _1.0,0.74,3.2,656.224,0,12.0,144.0,12,1139548.9833641404,,,4,
134414  ,1.0,4.0,1,9.0,,,2,4,3.0,800.0,3200.0,0.0,0.0,0.0,2005,134414  _1.0,0.69,3.2,656.224,0,9.0,81.0,7,1139548.9833641404,,,4,
134746  ,1.0,1.0,1,40.0,,,7,1,0.0,700.0,2800.0,2500.0,3.0,No,2005,134746  _1.0,1.0,2.3200000000000003,475.76240000000007,0,40.0,1600.0,0,997105.3604436229,,,4,36.0
