date,good_excellent_pct
2025-05-25,68
2025-06-01,215
2025-06-08,215
2025-06-15,212
2025-06-22,204
2025-06-29,204
2025-07-06,206
2025-07-13,207
2025-07-20,205
2025-07-27,204
2025-08-03,203
2025-08-10,202
2025-08-17,199
2025-08-24,195
2025-08-31,193
2025-09-07,189
2025-09-14,190
2025-09-21,189
2025-09-28,188
