date,soybeans_gov_stocks,soybeans_gov_stocks_change,soybeans_gov_stocks_pct_change
1980-08-31,313007000.0,,
1980-09-01,313007000.0,,
1980-09-02,313007000.0,,
1980-09-03,313007000.0,,
1980-09-04,313007000.0,,
1980-09-05,313007000.0,,
1980-09-06,313007000.0,,
1980-09-07,313007000.0,,
1980-09-08,313007000.0,,
1980-09-09,313007000.0,,
1980-09-10,313007000.0,,
1980-09-11,313007000.0,,
1980-09-12,313007000.0,,
1980-09-13,313007000.0,,
1980-09-14,313007000.0,,
1980-09-15,313007000.0,,
1980-09-16,313007000.0,,
1980-09-17,313007000.0,,
1980-09-18,313007000.0,,
1980-09-19,313007000.0,,
1980-09-20,313007000.0,,
1980-09-21,313007000.0,,
1980-09-22,313007000.0,,
1980-09-23,313007000.0,,
1980-09-24,313007000.0,,
1980-09-25,313007000.0,,
1980-09-26,313007000.0,,
1980-09-27,313007000.0,,
1980-09-28,313007000.0,,
1980-09-29,313007000.0,,
1980-09-30,313007000.0,,
1980-10-01,313007000.0,,
1980-10-02,313007000.0,,
1980-10-03,313007000.0,,
1980-10-04,313007000.0,,
1980-10-05,313007000.0,,
1980-10-06,313007000.0,,
1980-10-07,313007000.0,,
1980-10-08,313007000.0,,
1980-10-09,313007000.0,,
1980-10-10,313007000.0,,
1980-10-11,313007000.0,,
1980-10-12,313007000.0,,
1980-10-13,313007000.0,,
1980-10-14,313007000.0,,
1980-10-15,313007000.0,,
1980-10-16,313007000.0,,
1980-10-17,313007000.0,,
1980-10-18,313007000.0,,
1980-10-19,313007000.0,,
1980-10-20,313007000.0,,
1980-10-21,313007000.0,,
1980-10-22,313007000.0,,
1980-10-23,313007000.0,,
1980-10-24,313007000.0,,
1980-10-25,313007000.0,,
1980-10-26,313007000.0,,
1980-10-27,313007000.0,,
1980-10-28,313007000.0,,
1980-10-29,313007000.0,,
1980-10-30,313007000.0,,
1980-10-31,313007000.0,,
1980-11-01,313007000.0,,
1980-11-02,313007000.0,,
1980-11-03,313007000.0,,
1980-11-04,313007000.0,,
1980-11-05,313007000.0,,
1980-11-06,313007000.0,,
1980-11-07,313007000.0,,
1980-11-08,313007000.0,,
1980-11-09,313007000.0,,
1980-11-10,313007000.0,,
1980-11-11,313007000.0,,
1980-11-12,313007000.0,,
1980-11-13,313007000.0,,
1980-11-14,313007000.0,,
1980-11-15,313007000.0,,
1980-11-16,313007000.0,,
1980-11-17,313007000.0,,
1980-11-18,313007000.0,,
1980-11-19,313007000.0,,
1980-11-20,313007000.0,,
1980-11-21,313007000.0,,
1980-11-22,313007000.0,,
1980-11-23,313007000.0,,
1980-11-24,313007000.0,,
1980-11-25,313007000.0,,
1980-11-26,313007000.0,,
1980-11-27,313007000.0,,
1980-11-28,313007000.0,,
1980-11-29,313007000.0,,
1980-11-30,313007000.0,,
1980-12-01,313007000.0,,
1980-12-02,313007000.0,,
1980-12-03,313007000.0,,
1980-12-04,313007000.0,,
1980-12-05,313007000.0,,
1980-12-06,313007000.0,,
1980-12-07,313007000.0,,
1980-12-08,313007000.0,,
1980-12-09,313007000.0,,
1980-12-10,313007000.0,,
1980-12-11,313007000.0,,
1980-12-12,313007000.0,,
1980-12-13,313007000.0,,
1980-12-14,313007000.0,,
1980-12-15,313007000.0,,
1980-12-16,313007000.0,,
1980-12-17,313007000.0,,
1980-12-18,313007000.0,,
1980-12-19,313007000.0,,
1980-12-20,313007000.0,,
1980-12-21,313007000.0,,
1980-12-22,313007000.0,,
1980-12-23,313007000.0,,
1980-12-24,313007000.0,,
1980-12-25,313007000.0,,
1980-12-26,313007000.0,,
1980-12-27,313007000.0,,
1980-12-28,313007000.0,,
