date,quarter,ccc_stocks_bu
2025-01-01,Q1,598073504.8322333
2025-02-01,Q1,1137476.9
2025-03-01,Q1,478506340.1875
2025-04-01,Q2,1214324.02
2025-05-01,Q2,1222239.3
2025-06-01,Q2,252653727.95
2025-07-01,Q3,1231057.76
2025-08-01,Q3,1188225.6800000002
2025-09-01,Q3,210998666.66666666
