date,quarter,ccc_stocks_bu
2025-01-01,Q1,224207016.86692524
2025-02-01,Q1,9.09
2025-03-01,Q1,150003770.4947059
2025-04-01,Q2,31848435.539285716
2025-05-01,Q2,8.761818181818182
2025-06-01,Q2,109799755.6775
2025-07-01,Q3,8.761
2025-08-01,Q3,8.558
2025-09-01,Q3,730415666.6666666
