date,good_excellent_pct
2024-10-27,129
2024-11-03,136
2024-11-10,136
2024-11-17,141
2024-11-24,151
2025-04-06,150
2025-04-13,147
2025-04-20,136
2025-04-27,139
2025-05-04,143
2025-05-11,145
2025-05-18,142
2025-05-25,185
2025-06-01,268
2025-06-08,330
2025-06-15,334
2025-06-22,325
2025-06-29,322
2025-07-06,323
2025-07-13,186
2025-07-20,184
2025-07-27,177
2025-08-03,174
2025-08-10,173
2025-08-17,174
2025-08-24,118
