Variable,Sin Penalidad,Lasso (L1),Ridge (L2)
Edad,-0.028257705318010137,-0.02813704313402969,-0.028390486200599415
HORASTRAB,-0.01058424532082893,-0.010484629547488925,-0.010798444922314058
Sexo,0.20781468323077634,0.20680661720734292,0.18629683930979868
NIVEL_ED_2,0.3399893001827832,0.3605935676226846,0.5291694300949619
NIVEL_ED_3,0.006702624601523512,0.028324808761339342,0.23825278938180655
NIVEL_ED_4,-0.16449036127442604,-0.14146985636256457,0.09287867497238957
NIVEL_ED_5,-1.2400609102233222,-1.207305057951006,-0.7978731235898281
NIVEL_ED_6,-1.4438794307495084,-1.4225248537638817,-0.9528892234086732
NIVEL_ED_7,-0.27875227391324936,-0.27567285059104024,-0.1872441180524814
ESTADO_2,1.0455368674104675,1.0821843580450032,0.856158059591452
ESTADO_3,-0.6159307070079459,-0.40733221769614664,0.07826738287796532
ESTADO_4,-0.947582845213817,-0.7186686280258897,-0.06073681331969416
CAT_OCUP_1.0,-2.150694827616589,-1.970775798833543,-0.3823814439468666
CAT_OCUP_2.0,-0.3123245846957329,-0.11081955298094096,0.3035619729703122
CAT_OCUP_3.0,-1.0705057631436494,-0.8694649440152274,-0.4034645869300523
CAT_OCUP_4.0,-0.11843503591816186,-0.09452550693278881,0.01036653015885973
CAT_OCUP_9.0,0.733788334065819,1.1672466540123962,0.0420846237904885
