date,close,high,low,open,volume,predictor
2000-01-03,14.595767974853516,14.99974229906727,14.578203873800744,14.990960248540885,140500,Materials_Index
2000-01-04,14.455259323120117,14.639682437206098,14.393784951758125,14.613336278050957,258000,Materials_Index
2000-01-05,15.0524263381958,15.069990429605598,14.47281132167251,14.622106098655783,102700,Materials_Index
2000-01-06,15.438838005065918,15.588132798061435,15.05242795260693,15.061209999253725,1335000,Materials_Index
2000-01-07,15.430051803588867,15.702295176332894,15.430051803588867,15.59691064494811,620100,Materials_Index
2000-01-10,15.377361297607422,15.570566293922308,15.254412663588859,15.570566293922308,171200,Materials_Index
2000-01-11,15.192936897277832,15.315885519567942,15.078770319437016,15.254411208422887,39700,Materials_Index
2000-01-12,14.973379135131836,15.192930148843445,14.955815054034906,14.955815054034906,135300,Materials_Index
2000-01-13,15.034858703613281,15.157807314507314,14.964602354530975,15.113897096330874,45900,Materials_Index
2000-01-14,14.929471015930176,15.017291433670943,14.859214681737564,14.903124890607947,76000,Materials_Index
2000-01-18,14.569412231445312,14.78896335006263,14.43768156027492,14.736271081594474,34400,Materials_Index
2000-01-19,14.288394927978516,14.586984619159383,14.288394927978516,14.490382072012633,125700,Materials_Index
2000-01-20,13.910758018493652,14.437680670709321,13.910758018493652,14.437680670709321,99400,Materials_Index
2000-01-21,13.972237586975098,14.121532394629767,13.805378684302235,14.121532394629767,180100,Materials_Index
2000-01-24,13.603389739990234,13.919543407285037,13.410184721087855,13.919543407285037,190900,Materials_Index
2000-01-25,13.348708152770996,13.629733587566175,13.146721121511963,13.550695184030031,63400,Materials_Index
2000-01-26,13.348708152770996,13.70877199110232,13.348708152770998,13.471656780493888,300700,Materials_Index
2000-01-27,13.418965339660645,13.585824201868466,13.348708976625772,13.489221702695517,54300,Materials_Index
2000-01-28,13.190632820129395,13.41018396560425,12.839350987369624,13.401401919785256,29400,Materials_Index
2000-01-31,13.111598014831543,13.137944159536495,12.988649339541762,13.06768777365662,16300,Materials_Index
2000-02-01,13.348708152770996,13.418964511469792,13.111592942162565,13.111592942162565,42700,Materials_Index
2000-02-02,13.410183906555176,13.4189659523355,13.243325036729013,13.4189659523355,49000,Materials_Index
2000-02-03,13.181852340698242,13.480441934025183,13.102813918935228,13.480441934025183,183800,Materials_Index
2000-02-04,13.164285659790039,13.269670201429452,13.08524725356048,13.269670201429452,105000,Materials_Index
2000-02-07,12.9096040725708,13.234539685281767,12.900822028984019,13.234539685281767,49100,Materials_Index
2000-02-08,12.874479293823242,13.085248395495656,12.786658834793071,12.927171569241345,134700,Materials_Index
2000-02-09,12.619791984558105,12.935945437198392,12.619791984558105,12.865689114389438,33500,Materials_Index
2000-02-10,12.514412879943848,12.646143541837993,12.417810394554808,12.646143541837993,131100,Materials_Index
2000-02-11,12.207042694091797,12.611016768860303,12.066529972433187,12.479286092305356,24300,Materials_Index
2000-02-14,12.409028053283691,12.505630536359503,12.163130823636173,12.365117833703778,24100,Materials_Index
2000-02-15,12.944735527038574,12.944735527038574,12.373902549251934,12.452940961560854,32600,Materials_Index
2000-02-16,12.646139144897461,12.962292623519899,12.619793021678925,12.927164459228516,17400,Materials_Index
2000-02-17,12.619791984558105,12.909599316145034,12.584663823153628,12.786650751229367,45700,Materials_Index
2000-02-18,12.233394622802734,12.690061184457969,12.207048475014933,12.690061184457969,90500,Materials_Index
2000-02-22,12.619791984558105,12.716394428420415,12.268510370513342,12.435369137184605,48900,Materials_Index
2000-02-23,12.479287147521973,12.672492156139485,12.373902597366968,12.628581926908232,56300,Materials_Index
2000-02-24,12.031404495239258,12.347558190004667,11.873327647856552,12.347558190004667,18800,Materials_Index
2000-02-25,11.8381986618042,12.066531870414664,11.803070475864127,12.066531870414664,24900,Materials_Index
2000-02-28,11.873324394226074,12.101657555653498,11.706465545490648,11.803068036863788,199600,Materials_Index
2000-02-29,11.794286727905273,11.969927632267229,11.671338094851906,11.917235360958642,29100,Materials_Index
2000-03-01,11.671341896057129,11.934803338406049,11.565957319117562,11.934803338406049,119700,Materials_Index
2000-03-02,11.416656494140625,11.6625537109375,11.328836059570312,11.6625537109375,184000,Materials_Index
2000-03-03,11.785505294799805,12.101658939071632,11.52204392457328,11.52204392457328,162400,Materials_Index
2000-03-06,11.504476547241211,11.890886446537863,11.38152794291955,11.890886446537863,20900,Materials_Index
2000-03-07,11.13563346862793,11.574735734741019,11.100505287338883,11.565953689418757,198400,Materials_Index
2000-03-08,11.372748374938965,11.407876555247656,11.065376797237912,11.135633157855295,112600,Materials_Index
2000-03-09,11.355178833007812,11.381524955590198,11.144409852348735,11.179538015791914,112400,Materials_Index
2000-03-10,11.451787948608398,11.65377500598416,11.346403396934088,11.346403396934088,27700,Materials_Index
2000-03-13,11.62743091583252,11.653777058391054,11.223456729935016,11.241020824974036,47000,Materials_Index
2000-03-14,11.425443649291992,11.724033260418762,11.328841128045097,11.724033260418762,16400,Materials_Index
2000-03-15,12.110441207885742,12.646146003883588,11.337621174315078,11.337621174315078,444600,Materials_Index
2000-03-16,12.82178783416748,12.892044205861549,12.15435230307383,12.15435230307383,233900,Materials_Index
2000-03-17,12.39445972442627,12.87861830741167,12.39445972442627,12.87861830741167,65200,Materials_Index
2000-03-20,12.544107437133789,12.78178526225843,12.482487260249624,12.57051608436986,27500,Materials_Index
2000-03-21,12.693758010864258,12.816998379901776,12.464883039794584,12.508897457307983,44900,Materials_Index
2000-03-22,12.36805248260498,12.64974478114118,12.306432292300189,12.57932170650713,120400,Materials_Index
2000-03-23,12.746581077575684,12.808201289967277,12.376859803226111,12.438480015617706,31700,Materials_Index
2000-03-24,12.684954643249512,12.825800773917098,12.649743110582614,12.737771942249857,12000,Materials_Index
2000-03-27,12.632135391235352,12.852207436378823,12.500092164149267,12.755375736515695,39900,Materials_Index
2000-03-28,12.39445972442627,12.711363524198532,12.35924819111824,12.482488557696342,114000,Materials_Index
2000-03-29,12.649736404418945,12.649736404418947,12.368044292420752,12.464875955920132,27500,Materials_Index
2000-03-30,12.993051528930664,13.125094735525487,12.605724789585846,12.68495071354274,103600,Materials_Index
2000-03-31,12.9842529296875,13.230733663268008,12.922632746292374,13.037070229740467,152600,Materials_Index
2000-04-03,13.406789779663086,13.406789779663088,13.169111956911344,13.2043234862079,114700,Materials_Index
2000-04-04,13.283554077148438,13.820530086894001,13.045876171195482,13.609260837158041,185500,Materials_Index
2000-04-05,13.177912712097168,13.503619305515734,13.098686783968327,13.441999139193303,32500,Materials_Index
2000-04-06,13.09869384765625,13.371583302815754,13.089890962005942,13.160314047208395,22600,Materials_Index
2000-04-07,12.887422561645508,13.239537932182271,12.887422561645508,13.239537932182271,43700,Materials_Index
2000-04-10,13.204327583312988,13.380385284423829,12.931438146591187,13.063481422424317,42600,Materials_Index
2000-04-11,13.521236419677734,13.74130862702926,13.38039020697276,13.415601760149002,393100,Materials_Index
2000-04-12,13.873348236083984,14.172646357928436,13.55644434236633,13.55644434236633,240800,Materials_Index
2000-04-13,13.4860200881958,13.732500873097553,13.47721720302074,13.591654710296552,613200,Materials_Index
2000-04-14,12.746581077575684,13.309965876584553,12.605734877823465,13.169119676832334,145200,Materials_Index
2000-04-17,12.764181137084961,12.940238807941304,12.60572923331425,12.940238807941304,52800,Materials_Index
2000-04-18,12.52650260925293,12.790589101366486,12.394459363196153,12.693757387591516,24000,Materials_Index
2000-04-19,12.36805248260498,12.702562087116718,12.271220754983164,12.570518822177874,27500,Materials_Index
2000-04-20,12.676149368286133,12.684952249791886,12.447274449136522,12.447274449136522,139000,Materials_Index
2000-04-24,12.702564239501953,12.834607526814864,12.570520952189042,12.570520952189042,19900,Materials_Index
2000-04-25,12.72016716003418,12.852210417750797,12.552912366926464,12.790590230816376,231900,Materials_Index
2000-04-26,12.500092506408691,12.764178967811691,12.482486742315158,12.720164557577858,29900,Materials_Index
2000-04-27,12.456085205078125,12.62334005942193,12.39446499558304,12.500099640431758,64400,Materials_Index
2000-04-28,12.552909851074219,12.658544436076246,12.412063737738182,12.412063737738182,31200,Materials_Index
2000-05-01,12.53531265258789,12.60573575737771,12.394466443008252,12.438480883501889,21100,Materials_Index
2000-05-02,12.922635078430176,12.922635078430176,12.535308141474504,12.535308141474504,27200,Materials_Index
2000-05-03,12.71136474609375,12.869816661211264,12.53530706262985,12.869816661211264,89400,Materials_Index
2000-05-04,12.843401908874512,12.949036468783007,12.64973854904227,12.76417598894314,100300,Materials_Index
2000-05-05,12.834607124328613,12.95784752195591,12.825804238783807,12.834607124328613,10300,Materials_Index
2000-05-08,12.764181137084961,12.993056109198207,12.764181137084961,12.887421506684401,276500,Materials_Index
2000-05-09,12.993051528930664,13.045868811568592,12.87861408321515,12.940234246292734,1078200,Materials_Index
2000-05-10,12.834607124328613,13.028270606314367,12.772986925514964,12.852212895418226,46200,Materials_Index
2000-05-11,13.001870155334473,13.010673046434901,12.83461522442631,12.83461522442631,32700,Materials_Index
2000-05-12,13.045873641967773,13.089888060462942,12.922633270181304,13.089888060462942,14000,Materials_Index
2000-05-15,13.274752616882324,13.397993025792372,13.028271799062228,13.028271799062228,41500,Materials_Index
2000-05-16,13.133904457092285,13.39799100783811,13.081087146943121,13.380385237788389,1223000,Materials_Index
