date,close,high,low,open,volume,predictor
2000-01-03,206.5800018310547,206.5800018310547,206.5800018310547,206.5800018310547,0,Energy_Index
2000-01-04,202.3800048828125,202.3800048828125,202.3800048828125,202.3800048828125,0,Energy_Index
2000-01-05,208.55999755859375,208.55999755859375,208.55999755859375,208.55999755859375,0,Energy_Index
2000-01-06,218.13999938964844,218.13999938964844,218.13999938964844,218.13999938964844,0,Energy_Index
2000-01-07,220.85000610351562,220.85000610351562,220.85000610351562,220.85000610351562,0,Energy_Index
2000-01-10,217.6999969482422,217.6999969482422,217.6999969482422,217.6999969482422,0,Energy_Index
2000-01-11,219.11000061035156,219.11000061035156,219.11000061035156,219.11000061035156,0,Energy_Index
2000-01-12,216.1199951171875,216.1199951171875,216.1199951171875,216.1199951171875,0,Energy_Index
2000-01-13,219.6199951171875,219.6199951171875,219.6199951171875,219.6199951171875,0,Energy_Index
2000-01-14,217.02000427246094,217.02000427246094,217.02000427246094,217.02000427246094,0,Energy_Index
2000-01-18,220.6699981689453,220.6699981689453,220.6699981689453,220.6699981689453,0,Energy_Index
2000-01-19,221.11000061035156,221.11000061035156,221.11000061035156,221.11000061035156,0,Energy_Index
2000-01-20,216.3800048828125,216.3800048828125,216.3800048828125,216.3800048828125,0,Energy_Index
2000-01-21,220.5800018310547,220.5800018310547,220.5800018310547,220.5800018310547,0,Energy_Index
2000-01-24,216.6199951171875,216.6199951171875,216.6199951171875,216.6199951171875,0,Energy_Index
2000-01-25,215.52999877929688,215.52999877929688,215.52999877929688,215.52999877929688,0,Energy_Index
2000-01-26,213.08999633789062,213.08999633789062,213.08999633789062,213.08999633789062,0,Energy_Index
2000-01-27,207.38999938964844,207.38999938964844,207.38999938964844,207.38999938964844,0,Energy_Index
2000-01-28,202.49000549316406,202.49000549316406,202.49000549316406,202.49000549316406,0,Energy_Index
2000-01-31,209.22000122070312,209.22000122070312,209.22000122070312,209.22000122070312,0,Energy_Index
2000-02-01,209.1199951171875,209.1199951171875,209.1199951171875,209.1199951171875,0,Energy_Index
2000-02-02,209.6300048828125,209.6300048828125,209.6300048828125,209.6300048828125,0,Energy_Index
2000-02-03,206.82000732421875,206.82000732421875,206.82000732421875,206.82000732421875,0,Energy_Index
2000-02-04,201.39999389648438,201.39999389648438,201.39999389648438,201.39999389648438,0,Energy_Index
2000-02-07,202.75,202.75,202.75,202.75,0,Energy_Index
2000-02-08,200.32000732421875,200.32000732421875,200.32000732421875,200.32000732421875,0,Energy_Index
2000-02-09,192.25999450683594,192.25999450683594,192.25999450683594,192.25999450683594,0,Energy_Index
2000-02-10,196.0800018310547,196.0800018310547,196.0800018310547,196.0800018310547,0,Energy_Index
2000-02-11,191.64999389648438,191.64999389648438,191.64999389648438,191.64999389648438,0,Energy_Index
2000-02-14,196.14999389648438,196.14999389648438,196.14999389648438,196.14999389648438,0,Energy_Index
2000-02-15,203.83999633789062,203.83999633789062,203.83999633789062,203.83999633789062,0,Energy_Index
2000-02-16,205.1300048828125,205.1300048828125,205.1300048828125,205.1300048828125,0,Energy_Index
2000-02-17,203.8699951171875,203.8699951171875,203.8699951171875,203.8699951171875,0,Energy_Index
2000-02-18,198.27999877929688,198.27999877929688,198.27999877929688,198.27999877929688,0,Energy_Index
2000-02-22,196.19000244140625,196.19000244140625,196.19000244140625,196.19000244140625,0,Energy_Index
