date,open,high,low,close,volume,commodity
1999-01-04,784.0,784.0,784.0,784.0,0,Baltic_Dry_Index
1999-01-05,779.0,779.0,779.0,779.0,0,Baltic_Dry_Index
1999-01-06,791.0,791.0,791.0,791.0,0,Baltic_Dry_Index
1999-01-07,792.0,792.0,792.0,792.0,0,Baltic_Dry_Index
1999-01-08,791.0,791.0,791.0,791.0,0,Baltic_Dry_Index
1999-01-11,787.0,787.0,787.0,787.0,0,Baltic_Dry_Index
1999-01-12,786.0,786.0,786.0,786.0,0,Baltic_Dry_Index
1999-01-13,780.0,780.0,780.0,780.0,0,Baltic_Dry_Index
1999-01-14,778.0,778.0,778.0,778.0,0,Baltic_Dry_Index
1999-01-15,778.0,778.0,778.0,778.0,0,Baltic_Dry_Index
1999-01-18,776.0,776.0,776.0,776.0,0,Baltic_Dry_Index
1999-01-19,777.0,777.0,777.0,777.0,0,Baltic_Dry_Index
1999-01-20,791.0,791.0,791.0,791.0,0,Baltic_Dry_Index
1999-01-21,826.0,826.0,826.0,826.0,0,Baltic_Dry_Index
1999-01-22,843.0,843.0,843.0,843.0,0,Baltic_Dry_Index
1999-01-25,848.0,848.0,848.0,848.0,0,Baltic_Dry_Index
1999-01-26,847.0,847.0,847.0,847.0,0,Baltic_Dry_Index
1999-01-27,843.0,843.0,843.0,843.0,0,Baltic_Dry_Index
1999-01-28,835.0,835.0,835.0,835.0,0,Baltic_Dry_Index
1999-01-29,827.0,827.0,827.0,827.0,0,Baltic_Dry_Index
1999-02-01,816.0,816.0,816.0,816.0,0,Baltic_Dry_Index
1999-02-02,803.0,803.0,803.0,803.0,0,Baltic_Dry_Index
1999-02-03,794.0,794.0,794.0,794.0,0,Baltic_Dry_Index
1999-02-04,794.0,794.0,794.0,794.0,0,Baltic_Dry_Index
1999-02-05,800.0,800.0,800.0,800.0,0,Baltic_Dry_Index
1999-02-08,802.0,802.0,802.0,802.0,0,Baltic_Dry_Index
1999-02-09,805.0,805.0,805.0,805.0,0,Baltic_Dry_Index
1999-02-10,807.0,807.0,807.0,807.0,0,Baltic_Dry_Index
1999-02-11,807.0,807.0,807.0,807.0,0,Baltic_Dry_Index
1999-02-12,812.0,812.0,812.0,812.0,0,Baltic_Dry_Index
1999-02-15,818.0,818.0,818.0,818.0,0,Baltic_Dry_Index
1999-02-16,821.0,821.0,821.0,821.0,0,Baltic_Dry_Index
1999-02-17,825.0,825.0,825.0,825.0,0,Baltic_Dry_Index
1999-02-18,831.0,831.0,831.0,831.0,0,Baltic_Dry_Index
1999-02-19,843.0,843.0,843.0,843.0,0,Baltic_Dry_Index
1999-02-22,859.0,859.0,859.0,859.0,0,Baltic_Dry_Index
1999-02-23,876.0,876.0,876.0,876.0,0,Baltic_Dry_Index
1999-02-24,898.0,898.0,898.0,898.0,0,Baltic_Dry_Index
1999-02-25,935.0,935.0,935.0,935.0,0,Baltic_Dry_Index
1999-02-26,964.0,964.0,964.0,964.0,0,Baltic_Dry_Index
1999-03-01,978.0,978.0,978.0,978.0,0,Baltic_Dry_Index
1999-03-02,979.0,979.0,979.0,979.0,0,Baltic_Dry_Index
1999-03-03,975.0,975.0,975.0,975.0,0,Baltic_Dry_Index
1999-03-04,967.0,967.0,967.0,967.0,0,Baltic_Dry_Index
1999-03-05,956.0,956.0,956.0,956.0,0,Baltic_Dry_Index
1999-03-08,958.0,958.0,958.0,958.0,0,Baltic_Dry_Index
1999-03-09,964.0,964.0,964.0,964.0,0,Baltic_Dry_Index
1999-03-10,968.0,968.0,968.0,968.0,0,Baltic_Dry_Index
1999-03-11,978.0,978.0,978.0,978.0,0,Baltic_Dry_Index
1999-03-12,997.0,997.0,997.0,997.0,0,Baltic_Dry_Index
1999-03-15,1000.0,1000.0,1000.0,1000.0,0,Baltic_Dry_Index
1999-03-16,1001.0,1001.0,1001.0,1001.0,0,Baltic_Dry_Index
1999-03-17,995.0,995.0,995.0,995.0,0,Baltic_Dry_Index
1999-03-18,987.0,987.0,987.0,987.0,0,Baltic_Dry_Index
1999-03-19,982.0,982.0,982.0,982.0,0,Baltic_Dry_Index
1999-03-22,974.0,974.0,974.0,974.0,0,Baltic_Dry_Index
1999-03-23,969.0,969.0,969.0,969.0,0,Baltic_Dry_Index
1999-03-24,963.0,963.0,963.0,963.0,0,Baltic_Dry_Index
1999-03-25,957.0,957.0,957.0,957.0,0,Baltic_Dry_Index
1999-03-26,948.0,948.0,948.0,948.0,0,Baltic_Dry_Index
1999-03-29,936.0,936.0,936.0,936.0,0,Baltic_Dry_Index
1999-03-30,918.0,918.0,918.0,918.0,0,Baltic_Dry_Index
