CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,pobre
239495  ,1.0,1.0,1,42,,,7,1,0.0,1680.0,1680.0,1680.0,3.0,No,2005,239495  _1.0,1.0,1.0,205.07,0
239808  ,1.0,1.0,2,81,,,3,3,1.0,605.0,1210.0,0.0,0.0,0.0,2005,239808  _1.0,0.63,1.63,334.2641,0
239808  ,1.0,2.0,1,51,,,6,2,0.0,605.0,1210.0,0.0,2.0,0.0,2005,239808  _1.0,1.0,1.63,334.2641,0
239933  ,1.0,1.0,1,59,,,6,3,6.0,700.3333333333334,4202.0,0.0,0.0,0.0,2005,239933  _1.0,1.0,5.17,1060.2119,0
239933  ,1.0,2.0,2,60,,,6,1,0.0,700.3333333333334,4202.0,0.0,4.0,No,2005,239933  _1.0,0.76,5.17,1060.2119,0
239933  ,1.0,3.0,1,30,,,5,1,0.0,700.3333333333334,4202.0,1500.0,2.0,No,2005,239933  _1.0,1.0,5.17,1060.2119,0
239933  ,1.0,4.0,2,24,,,5,2,0.0,700.3333333333334,4202.0,0.0,3.0,0.0,2005,239933  _1.0,0.76,5.17,1060.2119,0
239933  ,1.0,5.0,1,26,,,6,1,0.0,700.3333333333334,4202.0,902.0,3.0,No,2005,239933  _1.0,1.02,5.17,1060.2119,0
239933  ,1.0,6.0,2,86,,,5,3,6.0,700.3333333333334,4202.0,0.0,0.0,0.0,2005,239933  _1.0,0.63,5.17,1060.2119,0
240087  ,1.0,1.0,1,75,,,3,1,0.0,800.0,1600.0,500.0,2.0,No,2005,240087  _1.0,0.83,2.24,459.3568,0
240087  ,1.0,1.0,1,75,,,3,1,0.0,800.0,1600.0,500.0,2.0,No,2005,240087  _1.0,0.74,2.24,459.3568,0
240087  ,1.0,2.0,2,71,,,3,1,0.0,800.0,1600.0,500.0,2.0,No,2005,240087  _1.0,0.67,2.24,459.3568,0
240280  ,1.0,1.0,1,64,,,2,1,0.0,252.6,1263.0,70.0,2.0,No,2005,240280  _1.0,0.83,4.1,840.7869999999999,0
240280  ,1.0,2.0,2,27,,,4,3,3.0,252.6,1263.0,0.0,0.0,0.0,2005,240280  _1.0,0.76,4.1,840.7869999999999,0
240280  ,1.0,3.0,1,30,,,4,1,0.0,252.6,1263.0,500.0,3.0,No,2005,240280  _1.0,1.0,4.1,840.7869999999999,0
240280  ,1.0,4.0,2,11,,,2,3,3.0,252.6,1263.0,0.0,0.0,0.0,2005,240280  _1.0,0.72,4.1,840.7869999999999,0
240280  ,1.0,5.0,1,10,,,2,3,3.0,252.6,1263.0,0.0,0.0,0.0,2005,240280  _1.0,0.79,4.1,840.7869999999999,0
240814  ,1.0,1.0,1,60,,,5,1,0.0,1300.0,1300.0,1300.0,3.0,No,2005,240814  _1.0,1.0,1.0,205.07,0
240834  ,1.0,1.0,2,61,,,5,1,0.0,450.0,450.0,0.0,3.0,No,2005,240834  _1.0,0.67,0.67,137.39690000000002,0
240864  ,1.0,1.0,1,60,,,7,1,0.0,1850.0,5550.0,1300.0,2.0,No,2005,240864  _1.0,1.0,2.39,490.1173,0
240864  ,1.0,2.0,2,54,,,7,1,0.0,1850.0,5550.0,1500.0,3.0,No,2005,240864  _1.0,0.76,2.39,490.1173,0
