commodity,arima_order,arima_rmse,arima_r2,arima_da,ensemble_rmse,ensemble_r2,ensemble_da,improvement_rmse_pct,improvement_r2,improvement_da_pp
corn,"(2, 1, 3)",168.45394789109997,-0.8386803022814917,49.949698189134814,169.02678044003676,-0.851206535725648,49.949698189134814,-0.3400529082922445,-0.012526233444156265,0.0
soybeans,"(3, 1, 3)",305.7607044432432,-0.43003273208442483,54.0241448692153,305.5168072273612,-0.4277522435178749,53.82293762575453,0.0797673515064981,0.002280488566549943,-0.20120724346077168
wheat,"(2, 1, 3)",214.51419220235317,-1.2322210466044758,52.51509054325956,214.80580446778436,-1.2382941691160951,52.51509054325956,-0.13594077969261026,-0.006073122511619289,0.0
